; [Site "Backgammon Studio"]
; [Match ID "2916031"]
; [Event "Online match"]
; [Round "Round 0"]
; [Player 1 "Llabba"]
; [Player 2 "Iradch49"]
; [EventDate "2023.05.15"]
; [EventTime "18.07"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]
; [ClockType "Speed 168/6"]

7 point match


 Game 1
 Llabba : 0                             Iradch49 : 0
  1) 32: 24/21 13/11                    41: 24/23 24/20
  2) 53: 13/5*                          43: bar/21 23/20*
  3) 62: bar/23 11/5*                   62: bar/23 21/15
  4) 52: 8/3 5/3                        52: 15/8
  5) 31: 23/20 21/20                    42: 8/4 6/4
  6) 52: 13/8 6/4                       55: 23/13 6/1*(2)
  7) 52: bar/23 8/3                     55: 13/3(2)
  8) 55: 23/8 6/1                        Doubles => 2
  9)  Takes                             65: 13/2
  10) 32: 8/5 6/4                       55: 13/3 13/8(2)
  11) 11: 13/12 8/5                     51: 8/2
  12) 42: 13/9 8/6                      65: 8/3 8/2
  13) 42: 12/8 3/1                      33: 6/3(2) 4/1(2)
  14) 32: 9/7 8/5                       63: 8/2
  15) 31: 20/17* 7/6                    32: bar/23
  16)  Doubles => 4                      Takes
  17) 61: 20/14 17/16                   11: 3/1 3/2(2)
  18) 32: 6/4 5/2*                      42: bar/23*
  19) 61: bar/18                        33: Cannot Move
  20) 41: 16/15 6/2*                    21: bar/23* 2/1
  21) 55: bar/5                         32: 3/1
  22) 63: 14/8 5/2*                     65: Cannot Move
  23) 41: 18/13                         22: bar/23* 3/1(2)
  24) 52: bar/20 4/2*                   42: bar/23*
  25) 22: Cannot Move                   32: Cannot Move
  26) 63: bar/22 8/2*                   61: Cannot Move
  27) 43: 15/8                          51: Cannot Move
  28) 32: 13/8                          42: bar/23*
  29) 63: bar/22 8/2*                   21: bar/23* 2/1
  30) 52: bar/20 8/6                    54: 23/14
  31) 51: 22/21 6/1                     62: 14/6
  32) 54: 21/12                         65: 6/off 2/off
  33) 21: 20/17                         54: 2/off(2)
  34) 21: 17/14                         51: 2/off 1/off
  35) 65: 20/15 12/6                    32: 1/off(2)
  36) 32: 22/20 14/11                   33: 1/off(4)
  37) 43: 20/16 15/12                   51: 1/off(2)
  38) 44: 16/8 12/8 11/7                41: 1/off
  39)                                    Wins 8 point
  40)                                   
