; [Site "BackgammonGalaxy"]
; [Match ID "10746252"]
; [Player 1 "lasse"]
; [Player 2 "mercy"]
; [Player 1 Elo "5,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.08.30"]
; [EventTime "12.14"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

5 point match

 Game 1
 lasse : 0                       mercy : 0
  1)                             21: 13/11 6/5
  2) 42: 24/20 13/11             31: 25/22 6/5
  3) 52: 25/20 13/11             32: 25/23 8/5
  4) 43: 25/22 24/20             44: 25/21 13/9 9/5 8/4
  5) 53: 25/20 6/3               62: 25/23
  6) 41: 8/4 4/3                 42: 25/23 25/21
  7) 41: 8/4 22/21               53: 25/20
  8) 62: 11/5 6/4                11: 25/24 25/24 6/5 5/4
  9) 41: 25/24 25/21             42: 25/23 24/20
 10) 66:                         21: 11/9 9/8
 11) 32: 25/23 8/5               63:
 12) 64: 11/5 13/9               42: 25/23 13/9
 13)  Doubles => 2                Takes
 14) 32: 21/18 18/16             42: 25/23 13/9
 15) 31: 25/22 13/12             41: 25/24 9/5
 16) 43: 23/20 20/16             41: 25/24 8/4
 17) 44: 16/12 12/8 12/8 13/9    51: 23/18 4/3
 18) 64: 25/21 21/15             61: 24/18 3/2
 19) 52: 15/10 24/22             22: 8/6 6/4 4/2 6/4
 20) 21: 22/20 6/5               32: 18/15 6/4
 21) 53: 25/20 20/17             62: 24/18 15/13
 22) 54: 20/15 15/11             21: 13/11 11/10
 23) 44: 8/4 8/4 17/13 13/9      62: 24/18 10/8
 24) 51: 11/6 4/3                62: 23/17 17/15
 25) 33: 9/6 9/6 9/6 6/3         43: 18/14 15/12
 26) 64: 6/0 4/0                 54: 23/18 14/10
 27) 65: 6/0 5/0                 51: 12/7 7/6
 28) 11: 6/5 6/5 6/5 5/4         64: 23/17 10/6
 29) 22: 5/3 5/3 5/3 5/3         54: 18/13 13/9
 30) 62: 4/0                     54: 18/13 9/5
 31) 21: 4/3                     65: 13/7 17/12
 32) 42: 4/0                     43: 23/19 8/5
 33) 43: 3/0 3/0                 51: 18/13 19/18
 34) 61: 3/2 3/0                 41: 25/21 24/23
 35) 43: 25/22 22/18             43: 25/21 12/9
 36) 21: 18/16 16/15             11: 25/24 13/12 12/11 11/10
 37) 42:                         65: 21/15 18/13
 38) 65:                         22: 15/13 13/11 21/19 19/17
 39) 32: 25/22                   65: 23/17 24/19
 40) 52: 22/17 17/15             44: 25/21 11/7 7/3 17/13
 41) 66: 15/9 9/3 3/0 3/0        66: 21/15 15/9 9/3 13/7
 42) 65: 3/0 3/0                 52: 24/19 19/17
 43) 33: 3/0 3/0
      Wins 5 point and the match
