; [Site "BackgammonGalaxy"]
; [Match ID "11450754"]
; [Player 1 "lasse"]
; [Player 2 "dolyh"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "7,00/0"]
; [EventDate "2024.09.23"]
; [EventTime "18.10"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

7 point match

 Game 1
 lasse : 0                       dolyh : 0
  1)                             61: 13/7 8/7
  2) 51: 13/8 24/23              55: 6/1 6/1 7/2 7/2
  3) 64: 25/21                    Doubles => 2
  4)  Takes                      51: 13/8 8/7
  5) 62:                         65: 24/18 18/13
  6) 64: 25/21 13/7              41: 24/20 7/6
  7) 32: 8/5 7/5                 65:
  8) 33: 6/3 6/3 13/10 8/5       11: 25/24 6/5 6/5 24/23
  9) 41: 10/6 6/5                21: 23/21 2/1
 10) 21: 6/4 5/4                 43:
 11)  Doubles => 4                Takes
 12) 22: 13/11 13/11 11/9 9/7    66:
 13) 64: 21/15 11/7              41: 25/24 13/9
 14) 11: 5/4 4/3 3/2 2/1         62: 25/23 9/3
 15) 44: 15/11 11/7 8/4 8/4      53: 8/3 8/5
 16) 41: 7/3 4/3                 53: 13/8 8/5
 17) 54: 6/1 6/2                 53:
 18) 62: 4/2 21/15               52:
 19) 52: 15/10 10/8              41:
 20) 42: 8/4 3/1                 51:
 21) 31: 4/1 3/2                 32:
 22) 63: 7/1 7/4                 54:
 23) 41: 4/0 1/0                 11:
 24) 31: 3/0 3/2                 43: 25/22 13/9
 25) 52: 5/0 2/0                 42: 22/20 20/16
 26) 66:                         52: 9/4 4/2
 27) 65:                         11: 5/4 5/4 13/12 12/11
 28) 63:                          Doubles => 8
 29)  Takes                      55: 16/11 11/6 11/6 6/1
 30) 64:                         65: 6/0 5/0
 31) 41:                         21: 5/3 1/0
 32) 61:                         65: 6/1 6/0
 33) 65: 25/20 20/14             62: 4/0 2/0
 34) 21: 14/12 12/11             62: 4/0 2/0
 35) 61: 11/5 1/0                53: 3/0 3/0
 36) 65: 5/0 4/0                 51: 3/0 1/0
 37) 52: 4/0 2/0                 65: 1/0 1/0
 38) 66: 2/0 2/0 1/0 1/0         61: 1/0
                                  Wins 8 point and the match
