; [Site "BackgammonGalaxy"]
; [Match ID "12273285"]
; [Player 1 "lasse"]
; [Player 2 "amirebrahimi"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "7,00/0"]
; [EventDate "2024.10.23"]
; [EventTime "12.02"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

7 point match

 Game 1
 lasse : 0                       amirebrahimi : 0
  1) 62: 24/18 13/11             63: 13/7 24/21
  2) 41: 25/24 8/4               62: 25/23 13/7
  3) 32: 6/4 24/21               33: 7/4 7/4 8/5 8/5
  4) 52: 25/23 13/8              32: 13/10 10/8
  5) 66: 8/2 8/2 13/7 7/1        64:
  6)  Doubles => 2                Takes
  7) 61: 11/5 6/5                43: 25/22
  8) 33: 13/10 10/7 7/4 4/1      51:
  9) 54: 8/3 13/9                53: 25/22
 10) 62: 25/23 24/18             32: 25/22 6/4
 11) 22: 9/7 7/5 18/16 16/14      Doubles => 4
 12)  Takes                      51: 6/1 6/5
 13) 64: 14/8 8/4                21: 5/3 4/3
 14) 41: 5/1 6/5                 65: 22/16 22/17
 15) 42: 6/2 5/3                 32: 16/13 17/15
 16) 63: 6/3                     21: 15/13 13/12
 17) 51: 23/18 2/1               32: 13/10 12/10
 18) 43: 18/14 14/11             63: 13/7 10/7
 19) 54: 11/6 6/2                11: 10/9 9/8 8/7 7/6
 20) 63: 4/1                     55: 6/1 7/2 7/2 8/3
 21) 21:                         54: 13/8 8/4
 22) 32:                         32: 8/5 5/3
 23) 62:                         32: 3/0 4/2
 24) 44:                         21: 2/0 3/2
 25) 52:                         53: 6/1 6/3
 26) 44:                         55: 5/0 5/0 4/0 4/0
 27) 32:                         42: 3/0 2/0
 28) 11:                         32: 3/0 3/1
 29) 65: 25/20 20/14             44: 2/0 2/0 1/0 1/0
 30) 32: 14/11 11/9              44: 1/0 1/0
                                  Wins 7 point and the match
