; [Site "BackgammonGalaxy"]
; [Match ID "1247261"]
; [Player 1 "lasse"]
; [Player 2 "jason01"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       jason01 : 0
  1)                             64: 8/2 6/2
  2) 66: 24/18 24/18 13/7 13/7   43: 24/20 24/21
  3) 65: 13/7 8/3                11: 6/5 6/5 21/20 2/1
  4) 64: 18/14 14/8              11: 8/7 8/7 7/6 2/1
  5) 52: 25/23 23/18             21: 25/23 23/22
  6) 41: 25/21 18/17             51: 13/8 22/21
  7) 62: 25/23 23/17             61: 25/24 13/7
  8) 32: 21/18 18/16             64: 25/21 13/7
  9) 51: 6/1 17/16               61: 25/24 13/7
 10) 62: 25/23 23/17             64: 24/20 13/7
 11) 61: 8/2 2/1                 62: 20/14 6/4
 12) 42: 13/11 11/7              51: 25/24 21/16
 13) 61:                          Doubles => 2
 14)  Takes                      63: 21/15 15/12
 15) 52: 25/23                   62: 12/6 6/4
 16) 41:                         54: 7/2 24/20
 17) 64:                         51: 7/2 16/15
 18) 32: 25/22                   21: 7/5 15/14
 19) 33: 25/22 17/14 14/11 11/8  64: 25/21 21/15
 20) 22: 16/14 14/12 12/10 10/8  63: 25/22 22/16
 21) 42: 22/18 18/16             31: 5/2 2/1
 22) 43: 8/4 7/4                 42: 16/12 12/10
 23) 43: 22/18 18/15             21: 25/23 23/22
 24) 51: 6/1 16/15               53: 20/15 15/12
 25) 42: 7/3 3/1                 61:
 26)  Doubles => 4                Takes
 27) 32: 15/13 15/12             63: 25/22
 28) 64: 13/7 16/12              62: 25/23 22/16
 29) 31: 12/9 9/8                11:
 30) 62: 12/6 6/4                52: 25/23 20/15
 31) 11: 7/6 6/5 6/5 8/7         44:
 32) 51: 8/3 4/3                 31:
 33) 54: 8/3 8/4                 63:
 34) 44: 7/3 7/3 7/3 4/0         62: 25/23 23/17
 35) 33: 6/3 6/3 3/0 3/0         64: 17/11 11/7
 36) 61: 5/0 5/4                 52: 15/10 10/8
 37) 32: 3/0 3/1                 21: 7/5 5/4
 38) 42: 4/0 3/1                 52: 8/3 4/2
 39) 62: 4/0 3/1                 62: 23/21 21/15
 40) 63: 25/22 22/16             52: 25/20 20/18
 41) 54: 16/12 12/7              63: 25/19 15/12
 42) 62: 7/5 5/0                 61: 19/13 12/11
 43) 42: 3/1 3/0                 63: 23/17 17/14
 44) 32: 1/0 1/0                 21: 5/3 5/4
 45) 65: 1/0 1/0                 32: 3/1 14/11
 46) 33: 1/0 1/0
      Wins 3 point and the match
