; [Site "BackgammonGalaxy"]
; [Match ID "1282816"]
; [Player 1 "lasse"]
; [Player 2 "ionpopescu"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       ionpopescu : 0
  1)                             61: 13/7 8/7
  2) 42: 8/4 6/4                 42: 8/4 6/4
  3) 53: 8/3 6/3                 63: 13/7 13/10
  4) 44: 24/20 24/20 13/9 13/9   43: 24/20 20/17
  5)  Doubles => 2                Takes
  6) 31: 25/22 9/8               43:
  7) 31: 8/5 6/5                 61: 25/24 10/4
  8) 55: 22/17 13/8 20/15 20/15  64:
  9) 62: 13/7 9/7                32: 25/23 6/3
 10) 61: 8/2 17/16               64:
 11) 61: 13/7 7/6                41: 25/24 13/9
 12) 53: 25/22 7/2               22:
 13) 21: 15/13 13/12             52:
 14) 62: 22/16 7/5               51: 25/24
 15) 62: 15/9 12/10              65:
 16) 42: 10/6 6/4                43:
 17) 43: 16/12 9/6               42:
 18) 52: 12/7 7/5                65:
 19) 41: 4/0 5/4                 11: 25/24 25/24 6/5 7/6
 20) 64: 6/0 6/2                 66: 24/18 24/18 18/12 18/12
 21) 66: 6/0 6/0 5/0 5/0         43: 24/20 20/17
 22) 51: 25/20 4/3               53: 25/20 17/14
 23) 21: 4/2 4/3                 44: 24/20 20/16 12/8 12/8
 24) 63: 20/14 14/11             21: 25/24 16/14
 25) 33: 25/22                   52: 24/19 20/18
 26) 31: 3/2                     44: 7/3 7/3 24/20 20/16
 27) 44:                         53: 6/1 4/1
 28) 32: 25/23 23/20             43: 8/5 16/12
 29) 42: 25/23                   31: 8/5 14/13
 30) 53: 23/18 18/15             43: 13/10 12/8
 31) 63:                         66: 19/13 13/7 18/12 12/6
 32) 61:                         64: 8/2 6/2
 33) 54:                          Doubles => 4
 34)  Takes                      22: 7/5 10/8 8/6 6/4
 35) 21:                         64: 24/18 18/14
 36) 65:                         41: 14/10 10/9
 37) 31:                         65: 9/3 5/0
 38) 42:                         64: 6/0 6/2
 39) 62: 25/19 19/17             62: 5/0 2/0
 40) 54: 17/13 13/8              66: 5/0 4/0 4/0 4/0
 41) 61: 8/2 2/1                 55: 3/0 3/0 3/0 2/0
 42) 63: 3/0 3/0                 51: 2/1 1/0
 43) 64: 3/0 2/0                 42: 1/0 1/0
                                  Wins 4 point and the match
