; [Site "BackgammonGalaxy"]
; [Match ID "1495872"]
; [Player 1 "lasse"]
; [Player 2 "yuko"]
; [Player 1 Elo "1,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       yuko : 0
  1) 42: 8/4 6/4                 22: 6/4 6/4 24/22 24/22
  2) 43: 24/20 13/10             66: 22/16 22/16 13/7 13/7
  3) 55: 20/15 15/10 8/3 8/3     33: 13/10 16/13 16/13 13/10
  4) 42: 13/9 10/8               32: 8/5 7/5
  5) 64: 24/18 18/14             31: 25/24 8/5
  6) 11: 6/5 6/5 14/13 9/8       11: 24/23 5/4 4/3 6/5
  7) 51: 13/8 10/9               11: 5/4 4/3 8/7 10/9
  8) 11: 3/2 3/2 8/7 7/6         42:
  9) 65: 9/3 8/3                 21: 25/24 9/7
 10) 43: 13/9 8/5                52: 13/8 8/6
 11) 66: 13/7 7/1 13/7 7/1       53:
 12) 65: 9/4 6/0                 31:
 13) 63: 6/0 6/3                 52:
 14) 43: 4/0 5/2                 61: 25/19 7/6
 15) 42: 4/0 2/0                 62: 13/7 7/5
 16) 31: 3/0 1/0                 11: 7/6 19/18 13/12 10/9
 17) 53: 5/0 3/0                 53: 18/13 9/6
 18) 41: 4/0 1/0                 62: 12/6 13/11
 19) 64: 5/0 3/0                 11: 11/10 10/9 9/8 8/7
 20) 54: 2/0 2/0
      Wins 1 point and the match
