; [Site "BackgammonGalaxy"]
; [Match ID "1500871"]
; [Player 1 "lasse"]
; [Player 2 "mathleon"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       mathleon : 0
  1) 63: 24/18 13/10             52: 13/8 24/22
  2) 52: 18/13 10/8              41: 13/9 22/21
  3) 53: 24/21 21/16             32: 25/22 24/22
  4) 62: 16/10 10/8              32: 8/5 6/4
  5) 41: 13/9 9/8                32: 8/5 6/4
  6) 66: 13/7 13/7 13/7 13/7     51: 13/8 8/7
  7)  Doubles => 2                Takes
  8) 63: 8/2 8/5                 52: 22/20 20/15
  9) 53: 25/22 7/2                Doubles => 4
 10)  Takes                      32: 6/3 13/11
 11) 44:                         32: 8/5 5/3
 12) 61: 25/24 24/18             61: 25/24 13/7
 13) 43:                         61: 22/16 8/7
 14) 51: 25/24 6/1               43: 25/21 11/8
 15) 51: 24/23 6/1               21: 8/6 15/14
 16) 32: 8/5 7/5                 65: 16/10 10/5
 17) 64: 23/17 17/13             21: 14/12 12/11
 18) 41: 25/24 6/2               42: 11/7 7/5
 19) 42: 8/6 6/2                 66: 21/15 21/15 15/9 15/9
 20) 64: 7/1 8/4                 63: 9/3 9/6
 21) 52: 8/3 6/4                 52: 6/1 3/1
 22) 53:                         53: 5/2 7/2
 23) 22:                         64: 7/3 6/0
 24) 61:                         55: 5/0 5/0 5/0 6/1
 25) 62: 25/19 6/4               32: 25/22 3/1
 26) 65: 25/19 19/14             52: 22/17 17/15
 27) 22: 14/12 12/10 19/17 7/5   11:
 28) 63: 17/11 11/8              31: 25/22 4/3
 29) 54: 8/3 5/1                 65: 25/19 19/14
 30) 62: 10/4 2/0                32: 14/11 11/9
 31) 65: 5/0 5/0                 63: 9/3 3/0
 32) 52: 4/0 2/0                 44: 4/0 3/0 3/0 3/0
 33) 11: 1/0 1/0 1/0 1/0         52: 2/0 2/0
 34) 31: 3/0 4/3                 64: 1/0 1/0
 35) 64: 4/0 4/0                 65: 1/0 1/0
                                  Wins 4 point and the match
