; [Site "BackgammonGalaxy"]
; [Match ID "1501137"]
; [Player 1 "iljar"]
; [Player 2 "lasse"]
; [Player 1 Elo "1,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 iljar : 0                       lasse : 0
  1) 53: 8/3 6/3                 55: 13/8 8/3 8/3 13/8
  2) 53: 13/8 13/10              63: 24/18 18/15
  3) 55: 25/20 20/15 15/10 6/1   42: 25/23 25/21
  4) 42: 8/4 6/4                 44:
  5) 43: 8/4 4/1                 55: 25/20 20/15 23/18 18/13
  6) 62: 25/23 13/7              62: 8/2 15/13
  7) 32: 25/23 24/21             31:
  8) 32: 8/5 7/5                 51:
  9) 33: 13/10 13/10 21/18 18/15 51:
 10) 54: 15/10 10/6              53:
 11) 32: 10/7 7/5                42: 25/23 6/2
 12) 66:                         42: 6/2 13/11
 13) 21: 25/24 6/4               32: 13/10 13/11
 14) 53: 5/2 10/5                32: 25/23 13/10
 15) 64: 25/21 24/18             33: 10/7 7/4 10/7 7/4
 16) 41: 25/24                   42: 8/4 8/6
 17) 31: 25/24 5/2               41:
 18) 65: 24/18 18/13             64:
 19) 53: 13/8 8/5                31:
 20) 62: 4/2 24/18               31:
 21) 42: 24/20 20/18             61:
 22) 41: 18/17 17/13             54:
 23) 64: 18/12 13/9              61:
 24) 51: 12/7 7/6                32:
 25) 42: 9/5 5/3                 21:
 26) 61: 6/0 5/4                 32:
 27) 52: 6/1 6/4                 65: 25/19
 28) 65: 5/0 5/0                 61: 25/19 19/18
 29) 55: 4/0 4/0 4/0 4/0         44: 18/14 14/10 10/6 19/15
 30) 63: 3/0 3/0                 43: 15/11 11/8
 31) 51: 3/0 1/0                 63: 11/5 8/5
 32) 61: 2/0 1/0                 62: 11/5 2/0
 33) 66: 2/0 1/0
      Wins 1 point and the match
