; [Site "BackgammonGalaxy"]
; [Match ID "2282053"]
; [Player 1 "lasse"]
; [Player 2 "bcarp942"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.09.19"]
; [EventTime "13.24"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       bcarp942 : 0
  1) 41: 13/9 24/23              21: 24/22 22/21
  2) 22: 6/4 6/4 13/11 11/9      66:
  3)  Doubles => 2                Takes
  4) 51: 13/8 8/7                53: 25/22 6/1
  5) 21: 25/24 9/7               41: 25/24 24/20
  6) 53: 8/5 8/3                 54: 25/20
  7) 22: 25/23 7/5 5/3 13/11     51: 25/24 25/20
  8) 51: 6/5 13/8                33:
  9) 62: 11/5 9/7                53:
 10) 32: 23/20 23/21             51: 25/24 13/8
 11) 51: 20/15 21/20             53: 13/10 6/1
 12) 63: 25/22                   21: 6/5 5/3
 13) 31: 25/24 25/22             52: 25/23
 14) 33: 25/22 8/5 5/2 24/21     52: 25/23
 15) 42: 25/21 22/20             52: 25/23 8/3
 16) 52: 25/23 20/15             21: 25/23 13/12
 17) 62: 15/13 21/15             31: 25/24 13/10
 18) 31: 25/24 24/21             64: 23/17 17/13
 19) 21: 25/24 23/21             32: 3/1 10/7
 20) 31: 25/22 21/20             51: 24/23 8/3
 21) 22: 25/23 23/21 13/11 11/9  61: 23/17 17/16
 22) 42: 25/21 20/18             65:
 23) 44: 18/14 14/10 10/6 7/3    63:
 24) 21: 21/20 20/18             54:
 25) 31: 21/18 21/20             43:
 26) 51: 20/15 15/14             31: 25/24 16/13
 27) 32: 14/11 11/9              62: 24/18 18/16
 28) 53: 25/22 25/20             65:
 29) 22: 18/16 18/16 16/14 16/14 66:
 30) 66: 21/15 15/9 14/8 14/8    61: 25/24
 31) 43: 20/16 16/13             22: 25/23 13/11 11/9 9/7
 32) 53: 13/8 8/5                21: 24/23 7/5
 33) 62: 22/16 16/14             61: 24/18 8/7
 34) 43: 14/10 10/7              31: 25/24 8/5
 35) 63: 9/3 7/4                 21: 7/5 5/4
 36) 53: 8/3 8/5                 32: 13/10 13/11
 37) 31: 3/0 5/4                 41: 11/7 10/9
 38) 43: 4/0 3/0                 21: 7/5 5/4
 39) 43: 6/3 4/0                 63: 23/17 9/6
 40) 63: 6/0 6/3                 61: 23/17 17/16
 41) 65: 5/0 5/0                 11: 16/15 15/14 14/13 13/12
 42) 62: 5/3 4/0                 51: 17/12 12/11
 43) 52: 4/0                     31: 6/3 11/10
 44) 31: 3/0                     55: 24/19 19/14 14/9 12/7
 45) 61: 3/0                     32: 10/7 7/5
 46) 66: 3/0 3/0 3/0 3/0
      Wins 3 point and the match
