; [Site "BackgammonGalaxy"]
; [Match ID "2515927"]
; [Player 1 "lasse"]
; [Player 2 "gonzy"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.09.30"]
; [EventTime "12.43"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       gonzy : 0
  1) 31: 8/5 6/5                 11: 6/5 6/5 8/7 8/7
  2) 51: 13/8 24/23              53: 13/8 13/10
  3) 65: 13/7 7/2                43: 13/9 10/7
  4) 53: 24/21 21/16             51: 25/24 7/2
  5) 65:                         62: 8/2 24/22
  6) 42: 25/21 16/14             32: 7/4 6/4
  7) 41: 25/24 6/2               32: 13/11 13/10
  8) 54:                         22: 24/22 10/8 11/9 9/7
  9) 43: 25/22 13/9               Doubles => 2
 10)  Takes                      43: 22/18 18/15
 11) 61: 9/3 6/5                 62:
 12) 52: 8/3 24/22               44: 25/21 15/11 5/1 5/1
 13) 64: 8/4 22/16               33:
 14) 32: 4/1 16/14               64: 25/21
 15) 52: 8/3 3/1                 62:
 16) 43: 13/9 13/10              62:
 17) 66: 22/16 16/10 10/4 10/4   54:
 18) 62: 14/8 8/6                11:
 19) 52: 9/4 4/2                 62:
 20) 63: 6/0 5/2                 43:
 21) 43: 6/2 6/3                 62: 25/19
 22) 52: 5/0 5/3                 61: 25/19
 23) 22: 2/0 2/0 4/2 4/2         65: 25/19 19/14
 24) 31: 3/0 1/0                 65: 19/13 19/14
 25) 63: 3/0 3/0                 66: 14/8 14/8 13/7 8/2
 26) 63: 3/0 2/0                 32: 8/5 8/6
 27) 62: 2/0 2/0                 21: 7/5 7/6
 28) 41: 2/0 2/1                 41: 8/4 7/6
 29) 41: 1/0 1/0
      Wins 3 point and the match
