; [Site "BackgammonGalaxy"]
; [Match ID "2521349"]
; [Player 1 "lasse"]
; [Player 2 "meisampourtaghi"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.09.30"]
; [EventTime "18.03"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       meisampourtaghi : 0
  1)                             31: 8/5 6/5
  2) 64: 24/18 13/9              31: 13/10 8/7
  3) 21: 25/23 24/23             41: 24/20 8/7
  4) 61: 13/7 8/7                 Doubles => 2
  5)  Takes                      11: 6/5 6/5 5/4 5/4
  6) 44: 13/9 9/5 9/5 13/9       41: 25/21 13/12
  7) 32: 25/22 6/4               61: 25/24 12/6
  8) 42: 9/5 6/4                 65: 13/7 10/5
  9) 52: 22/17 17/15             54: 6/1 5/1
 10)  Doubles => 4                Takes
 11) 62: 23/17 17/15             61: 7/1 24/23
 12) 64: 23/17 17/13             64: 7/1 7/3
 13) 31: 13/10 10/9              65: 13/7 13/8
 14) 32: 6/3 5/3                 62: 8/2 4/2
 15) 51: 7/2 2/1                 42: 25/23
 16) 52: 9/7 15/10               44:
 17) 21: 10/8 8/7                64:
 18) 52: 7/2 15/13               55:
 19) 52: 7/2 7/5                 51: 25/24
 20) 51:                         41: 25/24 7/3
 21) 51:                         65: 24/18 18/13
 22) 63:                         66: 24/18 18/12 12/6 13/7
 23) 54: 25/21                   52:
 24) 32:                         33:
 25) 63:                         41: 25/24 6/2
 26) 11:                         52: 6/1 6/4
 27) 55:                         44: 7/3 5/1 5/1
 28) 21:                         61: 24/18 4/3
 29) 52: 25/20                   53: 18/15 15/10
 30) 32:                         63: 10/4 4/1
 31) 51: 25/20 8/7               43: 3/0 3/0
 32) 32: 20/17 8/6               61: 3/0 1/0
 33) 51: 17/12 7/6               65: 3/0 2/0
 34) 41: 20/16 12/11             32: 2/0 2/0
 35) 32: 11/8 8/6                53: 1/0 1/0
 36) 54: 16/11 11/7              52: 1/0 1/0
 37) 63: 7/4 6/0                 32: 1/0 1/0
 38) 31: 3/0 2/1                 33: 1/0
                                  Wins 4 point and the match
