; [Site "BackgammonGalaxy"]
; [Match ID "2753758"]
; [Player 1 "lasse"]
; [Player 2 "samputti"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.10.11"]
; [EventTime "18.48"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       samputti : 0
  1) 31: 8/5 6/5                 53: 8/3 6/3
  2) 62: 24/18 13/11             22: 13/11 11/9 9/7 13/11
  3) 41: 25/24 13/9              43: 11/7 13/10
  4) 51: 13/8 6/5                54: 13/8 13/9
  5) 51: 9/4 5/4                 62: 10/4 6/4
  6) 52: 11/6 6/4                55: 8/3 8/3 8/3 9/4
  7)  Doubles => 2                Takes
  8) 53: 8/3 6/3                 53: 7/2 7/4
  9) 61: 13/7 8/7                31: 24/23 6/3
 10) 54: 13/8 24/20              53: 6/1 4/1
 11) 44:                         32: 4/2 6/3
 12) 51: 25/20 20/19             11: 24/23 3/2 2/1 3/2
 13) 32: 8/5 8/6                 51: 2/1
 14) 21: 19/17 17/16             52: 3/1
 15) 63: 16/10 10/7              51: 3/2
 16) 52: 20/15 5/3               65: 23/17 17/12
 17) 21: 3/2 15/13               31: 25/24
 18) 62: 7/1 4/2                 63:
 19) 11: 13/12 12/11 11/10 10/9  31: 25/24
 20) 31:                         54:
 21) 53: 25/20 20/17             54:
 22) 43: 9/5 17/14               41: 25/24
 23) 65: 14/8 8/3                42: 3/1
 24) 43: 7/3 7/4                 54:
 25) 66: 6/0 6/0 6/0 5/0         44:
 26) 62: 5/0 5/3                 53: 24/19 19/16
 27) 61: 4/0 3/2                 53: 16/11 11/8
 28) 44: 4/0 4/0 3/0 3/0         43: 8/4 4/1
 29) 43: 3/0 3/0                 63: 24/18 18/15
 30) 42: 2/0 2/0                 54: 15/11 11/6
 31) 54: 2/0
      Wins 3 point and the match
