; [Site "BackgammonGalaxy"]
; [Match ID "2823047"]
; [Player 1 "lasse"]
; [Player 2 "play02"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.10.14"]
; [EventTime "18.36"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       play02 : 0
  1) 61: 13/7 8/7                22: 24/22 22/20 24/22 22/20
  2) 43: 24/20 24/21             52: 13/8 6/4
  3) 31: 25/22 22/21             32: 25/22 6/4
  4) 22: 25/23 23/21 6/4 6/4     64:
  5)  Doubles => 2                Takes
  6) 64: 21/15 20/16             64:
  7) 31: 13/10 16/15             33: 25/22 8/5 8/5 8/5
  8) 55: 13/8 15/10 15/10 13/8   62: 13/7 6/4
  9) 21: 13/11 11/10             44: 8/4 13/9 7/3 13/9
 10) 51: 10/9 9/4                62: 9/3 9/7
 11) 32: 10/7 8/6                63: 13/7 5/2
 12) 61: 8/2 2/1                 51: 7/2 7/6
 13) 62: 10/4 10/8               32: 6/3 3/1
 14) 66: 8/2 8/2 8/2 7/1         61: 20/14 14/13
 15) 52: 6/1 4/2                 63: 13/7 7/4
 16) 64: 7/1 6/2                  Doubles => 4
 17)  Takes                      54: 22/18 22/17
 18) 65:                         33: 4/1 20/17 17/14 18/15
 19) 53:                         55: 15/10 10/5 17/12 14/9
 20) 52:                         64: 12/6 9/5
 21) 65:                         32: 5/2 2/0
 22) 42:                         33: 6/3 6/3 6/3 5/2
 23) 54:                         31: 3/0 2/1
 24) 55:                         11: 1/0 3/2 2/1 3/2
 25) 53:                         65: 5/0 5/0
 26) 43:                         43: 4/0 4/1
 27) 66: 25/19 19/13 13/7 7/1    41: 3/0 1/0
 28) 63: 6/0 6/3                 53: 3/0 2/0
 29) 42: 4/0 2/0                 41: 2/0 1/0
 30) 61: 4/0 1/0                 51: 2/0 1/0
 31) 66: 4/0 3/0 2/0 2/0         41: 1/0
                                  Wins 4 point and the match
