; [Site "BackgammonGalaxy"]
; [Match ID "3093544"]
; [Player 1 "lasse"]
; [Player 2 "ardalani"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.10.26"]
; [EventTime "08.31"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       ardalani : 0
  1)                             42: 8/4 6/4
  2) 11: 6/5 6/5 8/7 8/7         33: 24/21 24/21 8/5 8/5
  3) 41: 13/9 9/8                63: 13/7 7/4
  4) 52: 13/8 8/6                52: 13/8 6/4
  5) 44: 13/9 13/9 13/9 9/5      44: 13/9 13/9 13/9 9/5
  6) 53: 6/1 5/2                 55: 9/4 9/4 8/3
  7)  Doubles => 2                Takes
  8) 32: 24/22 6/3               21: 25/23 23/22
  9) 22: 25/23 25/23 24/22 5/3   65: 25/20 21/15
 10) 31: 25/22 3/2               32: 4/1 15/13
 11) 11: 6/5 6/5 5/4 5/4         65: 25/20 25/19
 12) 63: 22/16 16/13             22: 13/11 11/9 9/7 7/5
 13) 44: 22/18 9/5 9/5 22/18     54:
 14) 43: 5/1 5/2                 41:
 15) 61: 13/7 7/6                21:
 16) 21: 8/6 23/22               31: 25/22
 17) 53: 8/3 18/15               11:
 18) 61: 15/9 23/22              55: 25/20 25/20 20/15 20/15
 19) 32: 9/6 7/5                 43: 5/1 4/1
 20) 63: 18/12 12/9              51: 15/10 15/14
 21) 65: 22/16 16/11             61:
 22) 61: 9/3 6/5                 42:
 23) 55: 22/17 11/6 7/2 6/1      21:
 24) 62: 17/15 15/9              21:
 25) 62: 9/3 2/0                 63:
 26) 51: 5/0 5/4                 43:
 27) 32: 3/0 4/2                 55: 25/20 25/20 20/15 15/10
 28) 42: 4/0 2/0                 63: 10/4 5/2
 29) 51: 6/1 1/0                 51: 20/19 19/14
 30) 65:                         31: 6/3 4/3
 31) 22: 25/23 4/2 3/1 3/1       53: 25/20 20/17
 32) 21: 2/1                     32: 4/2 14/11
 33) 21: 25/23 2/1               43: 25/21 5/2
 34) 51: 25/20 2/1               41: 25/21 21/20
 35) 42: 20/18 18/14             11:
 36) 66: 14/8 8/2 2/0 1/0        31: 25/22
 37) 42: 1/0 1/0                 53: 25/20 21/18
 38) 21: 1/0 1/0                 42: 22/18 20/18
 39) 62: 1/0 1/0                 21: 20/18 18/17
 40) 21: 1/0
      Wins 3 point and the match
