; [Site "BackgammonGalaxy"]
; [Match ID "3243396"]
; [Player 1 "lasse"]
; [Player 2 "worley2"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.10.31"]
; [EventTime "21.20"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       worley2 : 0
  1)                             52: 13/8 24/22
  2) 41: 13/9 9/8                66: 13/7 13/7 22/16 16/10
  3) 51: 13/8 24/23               Doubles => 2
  4)  Takes                      32: 13/10 13/11
  5) 22: 6/4 6/4 13/11 13/11     32: 24/22 11/8
  6) 51: 8/3 23/22               11: 25/24 24/23 23/22 8/7
  7) 61: 25/24 22/16             65: 22/16 16/11
  8) 54: 16/11 13/9              54: 8/3 7/3
  9) 64: 24/20 20/14             54: 25/20 20/16
 10) 52: 25/23 14/9              44:
 11) 51: 11/10 9/4               64:
 12) 51: 10/5 6/5                22: 25/23 6/4 6/4 8/6
 13) 42: 24/20 4/2               21: 25/23 6/5
 14) 62: 25/23                   61: 10/4 6/5
 15) 32: 25/23 8/5               64: 7/1 7/3
 16) 53: 23/18 18/15             55:
 17) 21: 15/13 11/10             52: 25/23 23/18
 18)  Doubles => 4                Takes
 19) 41: 11/7 8/7                62: 25/23
 20) 63: 13/7 7/4                41: 5/1 5/4
 21) 64: 10/4 5/1                42: 8/4 8/6
 22) 52: 23/18 18/16             63: 4/1
 23) 53: 23/18 4/1               54: 6/2 6/1
 24) 63: 16/10 10/7              61: 23/22 22/16
 25) 32: 4/2 18/15               32: 25/23 6/3
 26) 31:                         65: 16/10 10/5
 27) 55: 25/20 25/20 7/2 7/2     31: 25/22
 28) 54: 8/3 7/3                 53:
 29) 11: 20/19 19/18 8/7 7/6     61:
 30) 54: 20/15 18/14             33:
 31) 66: 15/9 14/8 9/3 8/2       11:
 32) 64: 6/0 6/2                 65: 25/19
 33) 21: 25/23 2/1               62: 25/19
 34) 33: 23/20 20/17 17/14 14/11 53:
 35) 31: 11/8 8/7                66: 25/19 19/13 13/7 7/1
 36) 42: 7/3 2/0                 42: 19/15 19/17
 37) 53: 5/0 3/0                 65: 17/11 11/6
 38) 63: 5/0 3/0                 52: 15/10 10/8
 39) 21: 2/0 1/0                 65: 8/3 6/0
 40) 66: 4/0 4/0 3/0 3/0          Losses 3 point

      Wins 3 point and the match
