; [Site "BackgammonGalaxy"]
; [Match ID "3244277"]
; [Player 1 "lasse"]
; [Player 2 "mightymike"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.10.31"]
; [EventTime "21.44"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       mightymike : 0
  1) 54: 24/20 13/8              51: 6/1 6/5
  2) 65: 25/20                   63: 25/22 22/16
  3) 54: 25/20 13/9              41: 25/21 21/20
  4) 64: 13/9 20/14              62: 24/18 20/18
  5) 64: 20/14 8/4               31: 24/21 21/20
  6) 41: 25/24 24/20             43: 25/21 8/5
  7) 53: 25/20 8/5               11: 25/24 25/24 21/20 6/5
  8) 41: 25/24 25/21             54: 24/20 13/8
  9) 62: 21/15 15/13             52: 8/3 5/3
 10) 21: 24/23 23/21             43: 8/4 13/10
 11) 55: 25/20 6/1 6/1 20/15     51: 25/20
 12)  Doubles => 2                Takes
 13) 62: 15/9 13/11              31: 25/22 8/7
 14) 65: 9/3 8/3                 32: 25/23 20/17
 15) 51: 25/24 13/8              41: 25/21 13/12
 16) 32: 25/23 24/21             65: 25/20 20/14
 17) 43: 25/21 21/18             63:
 18) 61: 18/17 17/11             43: 25/21
 19) 21: 14/13 23/21             61:
 20) 62: 8/2 13/11               32: 25/23
 21) 44: 25/21 6/2 21/17 14/10   22: 25/23 25/23 25/23 23/21
 22) 31: 25/24 24/21             61: 21/15 13/12
 23) 41: 25/24 17/13             51: 25/20 13/12
 24) 65: 25/20 21/15             62: 12/10 21/15
 25) 64: 25/21 21/15             55: 25/20 20/15 15/10 10/5
 26) 63:                         41: 21/17 18/17
 27) 42: 25/23 25/21             41: 5/1 18/17
 28) 43: 25/21 21/18             53: 15/10 10/7
 29) 31: 25/24 21/18             32: 25/23
 30) 64: 23/17 21/17             54: 25/21 20/15
 31) 44: 11/7 11/7 17/13 17/13   64: 17/11 11/7
 32) 51: 25/20 21/20             62: 15/9 9/7
 33) 44: 20/16 20/16 16/12 16/12 51: 21/20 20/15
 34) 54: 24/20 20/15             64: 20/14 14/10
 35) 22: 25/23 7/5 7/5 23/21     65:
 36) 55: 9/4 9/4 12/7 12/7       22: 25/23 10/8 8/6 6/4
 37) 54: 25/21 21/16             51:
 38) 11: 13/12 13/12 12/11 12/11 64:
 39) 41: 11/7 7/6                66:
 40) 63: 11/5 16/13              51:
 41) 41: 13/9 5/4                53:
 42) 33: 9/6 7/4 7/4 6/3         31:
 43) 43: 6/3 4/0                 51:
 44) 42: 4/0 3/1                 31:
 45) 55: 6/1 6/1 5/0 5/0         55: 25/20 15/10 15/10 23/18
 46) 33: 4/1 4/1 4/1 3/0         32: 23/20 20/18
 47) 66: 3/0 3/0 1/0 1/0          Losses 3 point

      Wins 3 point and the match
