; [Site "BackgammonGalaxy"]
; [Match ID "3314910"]
; [Player 1 "dublyor"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.11.02"]
; [EventTime "08.52"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 dublyor : 0                     lasse : 0
  1)                             21: 13/11 6/5
  2) 42: 24/20 13/11             64: 25/21 11/5
  3) 51: 25/20 24/23             21: 25/23 6/5
  4) 31: 25/24 23/20             52: 25/20 23/21
  5) 61: 11/5 6/5                55:
  6)  Doubles => 2                Takes
  7) 66: 13/7 13/7 20/14 14/8    63: 25/22 13/7
  8) 51: 8/3 6/5                 63: 25/22 13/7
  9) 65: 25/20 20/14             61: 22/16 8/7
 10) 32: 14/11 11/9              63: 25/22 22/16
 11) 54: 25/20 24/20             33: 13/10 13/10 16/13 13/10
 12) 44: 20/16 20/16 13/9 13/9   41: 8/4 6/5
 13) 63: 16/10 10/7              54: 10/5 8/4
 14) 44: 7/3 7/3 7/3 16/12       65: 24/18 18/13
 15) 21: 25/23 23/22             31: 7/4 4/3
 16) 22: 25/23 9/7 9/7 3/1       43: 25/21 10/7
 17) 21: 23/22 8/6               66:
 18) 64: 5/1 22/16               44: 25/21 13/9 7/3 7/3
 19) 62: 25/23 23/17             52: 21/16 10/8
 20) 21: 25/23 6/5               51: 21/16 8/7
 21) 21: 5/3 3/2                 64: 16/10 9/5
 22) 11: 8/7 8/7 7/6 6/5          Doubles => 4
 23)  Takes                      65: 21/15 21/16
 24) 51: 7/2 5/4                 65: 10/4 16/11
 25) 53: 7/2 7/4                 65: 16/10 11/6
 26) 52: 6/1 6/4                 52: 7/2 4/2
 27) 41: 25/24 6/2               11: 10/9 9/8 8/7 15/14
 28) 22: 5/3 5/3 3/1 4/2         54: 6/1 5/1
 29) 64:                         65: 14/8 7/2
 30) 41:                         65: 7/1 8/3
 31) 62:                         52: 5/0 5/3
 32) 62:                         41: 4/0 4/3
 33) 53: 25/20 20/17             21: 2/0 1/0
 34) 61: 17/11 11/10             65: 6/1 6/0
 35) 22: 10/8 8/6 2/0 2/0        54: 3/0 3/0
 36) 64: 6/0 4/0                 66: 3/0 3/0 3/0 2/0
 37) 62: 4/0 2/0                 55: 2/0 1/0 1/0 1/0
                                  Wins 4 point and the match
