; [Site "BackgammonGalaxy"]
; [Match ID "3410218"]
; [Player 1 "metsox"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2023.11.06"]
; [EventTime "19.35"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 metsox : 0                      lasse : 0
  1)                             61: 13/7 8/7
  2) 63: 24/21 21/15             53: 13/10 13/8
  3) 51: 25/20 24/23             52: 10/5 7/5
  4) 61: 25/24 24/18             52: 25/20 24/22
  5) 51: 23/18 6/5               42: 25/21 22/20
  6) 54: 25/21 13/8              21: 6/4 21/20
  7) 51: 25/24 13/8              44: 8/4 24/20 6/2 6/2
  8) 22: 13/11 13/11 13/11 6/4   31: 8/5 5/4
  9) 31: 8/7 7/4                 31: 4/1 2/1
 10) 64:                          Doubles => 2
 11)  Takes                      44: 20/16 20/16 16/12 20/16
 12) 42: 25/23 8/4               62: 25/23 8/2
 13) 55:                         54: 23/18 12/8
 14) 63: 25/22 11/5              54: 18/13 8/4
 15) 61: 8/2 6/5                 41: 16/12 13/12
 16) 44: 11/7 11/7 7/3 7/3       31: 16/13 13/12
 17) 64: 8/2 22/18               21: 4/2 4/3
 18) 21: 4/2 2/1                 65: 12/6 6/1
 19) 31: 8/5 5/4                 53: 6/1 6/3
 20) 54: 18/14 14/9              51: 13/8 13/12
 21) 64: 9/3 5/1                 52: 8/3 4/2
 22) 53: 18/15 15/10             62: 12/6 6/4
 23) 31: 10/7 7/6                31: 5/2 5/4
 24) 52: 6/1 5/3                 42: 12/8 8/6
 25) 22: 18/16 16/14 14/12 12/10 41: 12/8 6/5
 26) 21: 10/8 6/5                61: 8/2 1/0
 27) 52: 8/3 2/0                 64: 5/0 4/0
 28) 43: 4/0 3/0                 53: 4/0 3/0
 29) 51: 5/0 1/0                 53: 3/0 3/0
 30) 52: 6/4 4/0                 22: 2/0 2/0 2/0 2/0
 31) 31: 3/0 1/0                 21: 2/0 1/0
 32) 52: 4/0 2/0                 21: 1/0 1/0
                                  Wins 2 point

