; [Site "BackgammonGalaxy"]
; [Match ID "3444981"]
; [Player 1 "lasse"]
; [Player 2 "piyam"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.11.08"]
; [EventTime "12.28"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       piyam : 0
  1) 21: 13/11 6/5               43: 24/20 13/10
  2) 31: 25/22 6/5               54: 25/20 24/20
  3) 44: 25/21 24/20 24/20 11/7  62: 10/4 6/4
  4) 22: 25/23 13/11 11/9 9/7    55: 8/3 8/3 13/8 13/8
  5) 31: 25/24 23/20              Doubles => 2
  6)  Takes                      53: 6/1 6/3
  7) 32: 25/23 23/20             61: 13/7 8/7
  8) 61: 20/14 13/12             21: 25/24 3/1
  9) 32: 13/10 12/10             62: 24/22 22/16
 10) 42: 13/9 9/7                11: 25/24 24/23 23/22 22/21
 11) 52: 20/15 14/12             55: 21/16 16/11 11/6 6/1
 12) 65: 8/2 7/2                 53: 7/2 7/4
 13) 42: 12/8 15/13              22: 4/2 8/6 8/6 6/4
 14) 42: 8/4 6/4                 62: 20/14 14/12
 15) 11:                         41: 20/16 4/3
 16) 63:                         51: 16/11 12/11
 17) 43:                         22: 11/9 11/9 9/7 9/7
 18) 62:                         63: 7/1 7/4
 19) 51: 25/20 7/6               43: 6/2 3/0
 20) 52: 20/15 8/6               55: 6/1 6/1 4/0 4/0
 21) 41: 10/6 7/6                55: 4/0 3/0 3/0 2/0
 22) 21: 8/6 20/19               31: 2/0 1/0
 23) 62: 19/13 13/11             32: 2/0 1/0
 24) 65: 20/14 14/9              31: 1/0 1/0
 25) 53: 10/5 9/6                61: 1/0 1/0
                                  Wins 3 point and the match
