; [Site "BackgammonGalaxy"]
; [Match ID "3550803"]
; [Player 1 "lasse"]
; [Player 2 "xdreds"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.11.13"]
; [EventTime "10.36"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       xdreds : 0
  1) 62: 24/18 13/11             52: 13/8 24/22
  2) 61: 11/5 6/5                55: 6/1 6/1 8/3 8/3
  3) 33:                         63: 13/7 13/10
  4) 52: 25/23 25/20             41: 6/2 7/6
  5) 32: 25/23 23/20             21: 25/23 23/22
  6) 63: 13/7 7/4                33: 24/21 21/18 13/10 13/10
  7) 62: 25/23 13/7              41: 25/24 22/18
  8) 43: 25/21 6/3               32: 25/22 6/4
  9) 65: 25/20                    Doubles => 2
 10)  Takes                      21: 4/2 22/21
 11) 51: 25/20                   66: 8/2 10/4 10/4 24/18
 12) 66:                         55: 18/13 18/13 13/8 13/8
 13) 41:                         54: 21/16 10/6
 14) 54: 25/20 13/9              65:
 15) 64: 20/14 13/9              54: 25/21 6/1
 16) 65: 20/14 20/15             44: 8/4 8/4 8/4 6/2
 17) 54: 9/4 8/4                 32: 25/22 6/4
 18) 41: 14/10 10/9              21: 4/2 2/1
 19) 52: 20/15 20/18             52: 4/2
 20) 63: 9/3 6/3                 33:
 21)  Doubles => 4                Takes
 22) 51: 15/10 14/13             43:
 23) 43: 10/7 15/11              65:
 24) 31: 11/8 8/7                43:
 25) 43: 9/5 5/2                 41: 25/24
 26) 65: 8/2 13/8                21: 4/2 2/1
 27) 41: 18/14 8/7               32: 4/1 4/2
 28) 65: 7/1 14/9                31: 25/24 4/1
 29) 53: 25/20 9/6               11: 3/2 3/2 2/1 2/1
 30) 62: 20/14 14/12             63:
 31) 63: 12/6 8/5                62:
 32) 33: 4/1 4/1 7/4 7/4         21:
 33) 51: 5/0 6/5                 43:
 34) 55: 5/0 6/1 6/1 6/1         42:
 35) 62: 5/0 5/3                 51: 25/20 20/19
 36) 44: 4/0 4/0 3/0 3/0         62: 19/17 17/11
 37) 62: 3/0 2/0                 21: 11/9 9/8
 38) 43: 2/0 1/0                 61: 8/2 1/0
 39) 64: 1/0 1/0                 55: 2/0 2/0 2/0 2/0
 40) 64: 1/0 1/0
      Wins 4 point and the match
