; [Site "BackgammonGalaxy"]
; [Match ID "3706358"]
; [Player 1 "sahlen"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.11.20"]
; [EventTime "09.04"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 sahlen : 0                      lasse : 0
  1)                             61: 13/7 8/7
  2) 61: 13/7 8/7                41: 13/9 24/23
  3) 53: 24/21 21/16             51: 25/20 23/22
  4) 51: 16/11 6/5               66:
  5)  Doubles => 2                Takes
  6) 41: 6/5 24/20               42: 25/21 24/22
  7) 61: 20/14 14/13             21: 22/21 6/4
  8) 53: 13/8 11/8               32: 8/5 6/4
  9) 52: 13/8 8/6                54: 8/3 7/3
 10) 63: 13/7 8/5                52: 13/8 7/5
 11) 32: 6/3 5/3                 63:
 12) 41: 8/7 7/3                 43: 25/21 8/5
 13) 21: 7/5 3/2                 54: 21/16 6/2
 14) 11: 3/2 2/1 2/1 3/2         32: 5/2 16/14
 15) 22: 7/5 7/5 5/3 5/3         52: 14/9 9/7
 16) 43: 6/2 5/2                 22: 7/5 5/3 3/1 3/1
 17) 55: 13/8 13/8 8/3 8/3       42: 13/9 13/11
 18) 62: 8/2 8/6                 65: 9/3 11/6
 19) 22: 2/0 2/0 2/0 2/0         42: 21/17 17/15
 20) 64: 6/0 6/2                 64: 15/9 9/5
 21) 64: 6/2 5/0                 41: 21/20 20/16
 22) 62:                          Doubles => 4
 23)  Takes                      53: 16/11 11/8
 24) 22:                         51: 8/3 3/2
 25) 32:                         64: 6/0 5/1
 26) 41:                         31: 3/0 3/2
 27) 51:                         32: 4/1 4/2
 28) 66:                         11: 1/0 1/0 2/1 1/0
 29) 32: 25/22 3/1               21: 2/0 1/0
 30) 65: 22/17 17/11             61: 6/0 1/0
 31) 41: 11/7 7/6                41: 5/1 1/0
 32) 63: 6/0 3/0                 63: 6/0 5/2
 33) 41: 3/0 1/0                 41: 2/1 2/0
 34) 62: 3/0 2/0                 53: 2/0 2/0
 35) 62: 2/0 1/0                 32: 1/0
                                  Wins 4 point and the match
