; [Site "BackgammonGalaxy"]
; [Match ID "3755271"]
; [Player 1 "lasse"]
; [Player 2 ""]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.11.22"]
; [EventTime "11.39"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                        : 0
  1)                             41: 13/9 24/23
  2) 52: 13/8 24/22              62: 13/7 9/7
  3) 32: 13/10 24/22             42: 8/4 6/4
  4) 62: 10/4 6/4                52: 23/18 18/16
  5) 32: 13/10 10/8              22: 13/11 13/11 13/11 16/14
  6) 61: 13/7 8/7                21: 14/12 11/10
  7) 55: 25/20 20/15 6/1 6/1     61:
  8)  Doubles => 2                Takes
  9) 41: 8/4 7/6                 62: 25/23
 10) 11: 7/6 6/5 6/5 8/7         53: 25/22 23/18
 11) 54: 25/20 20/16             54: 22/18 12/7
 12) 63: 22/16 15/12             53: 18/13 18/15
 13) 42: 25/23 16/12             31: 25/22 15/14
 14) 43: 23/20 20/16             32: 14/11 6/4
 15) 54: 12/7 7/3                42: 25/23 11/7
 16) 42: 22/20 20/16             54: 23/18 7/3
 17) 53: 16/11 11/8              63: 6/3 8/2
 18) 52: 8/3 4/2                 63: 8/2 4/1
 19) 21: 8/7 7/5                 62: 25/23 23/17
 20) 21: 25/24                   64:
 21) 54: 25/20 24/20             53:
 22) 44: 16/12 12/8 16/12 12/8   61:
 23) 21: 8/6 5/4                 43:
 24) 32: 20/17 17/15             55:
 25) 64: 8/2 6/2                 62:
 26) 54: 20/15 15/11             54:
 27) 31: 15/12 12/11             31:
 28) 62: 11/5 11/9               42:
 29) 43: 9/6 4/0                 21:
 30) 22: 6/4 4/2 2/0 5/3         65:
 31) 41: 4/0 4/3                 53:
 32) 42: 5/1 5/3                 62:
 33) 62: 6/0 6/4                 64: 25/21 25/19
 34) 31: 25/24                    Doubles => 4
 35)  Takes                      44: 21/17 17/13 13/9 19/15
 36) 53:                         62: 11/5 7/5
 37) 21: 3/1 3/2                 63: 9/6 15/9
 38) 31: 3/2                     42: 9/5 11/9
 39) 21: 3/1 3/2                 63: 9/3 5/2
 40) 65:                         42: 3/1 7/3
 41) 66:                         41: 2/1 7/3
 42) 41:                         63: 6/0 3/0
 43) 63:                         42: 4/0 4/2
 44) 41: 25/21 2/1               42: 5/1 5/3
 45) 41: 21/17 17/16             22: 2/0 2/0 2/0 6/4
 46) 63: 16/13 13/7              42: 4/0 6/4
 47) 52: 7/5 5/0                 64: 4/0 3/0
 48) 11: 1/0 1/0 1/0 1/0         32: 3/1 3/0
 49) 21: 2/0 1/0                 65: 3/0 1/0
 50) 41: 2/0 1/0                 52: 1/0 1/0
 51) 21: 2/1 2/0                 64: 1/0
                                  Wins 4 point and the match
