; [Site "BackgammonGalaxy"]
; [Match ID "3856187"]
; [Player 1 "lasse"]
; [Player 2 "kavehfereyduni"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.11.26"]
; [EventTime "21.15"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       kavehfereyduni : 0
  1) 62: 24/18 13/11             33: 13/10 13/10 10/7 10/7
  2) 21: 25/24 13/11             43: 13/9 24/21
  3) 65: 13/7 7/2                61: 21/15 24/23
  4) 51: 25/20 11/10             42: 25/23 9/5
  5) 31: 25/22 22/21             41: 8/4 6/5
  6) 64: 25/21 21/15              Doubles => 2
  7)  Takes                      53: 25/20 13/10
  8) 63: 25/22 11/5              31: 25/24 23/20
  9) 32: 25/22 6/4               65: 20/15 15/9
 10) 21: 25/23 13/12             54: 25/21 21/16
 11) 65:                         42: 16/12 23/21
 12) 61: 25/24                   51: 21/16 10/9
 13) 32: 25/23 24/21             66: 16/10 10/4 24/18 18/12
 14) 52: 25/23 12/7              53: 9/4 12/9
 15) 44: 8/4 8/4 6/2 6/2         42: 9/5 9/7
 16) 41: 23/22 7/3               63: 12/6 7/4
 17) 33: 6/3 8/5 5/2 6/3         51: 6/5
 18) 54:                         11: 8/7 8/7 5/4 6/5
 19) 62: 22/16 3/1               33: 7/4 7/4 7/4 7/4
 20) 41: 2/1 16/12               51: 5/0 6/5
 21) 62: 22/16 12/10             61: 6/0 6/5
 22) 63: 16/10 10/7              65: 5/0 5/0
 23) 41: 10/6 7/6                63: 5/0
 24) 63: 22/16 16/13             52: 5/3 5/0
 25) 65: 23/17 17/12             43: 4/0 3/0
 26) 53: 24/19 13/10             65: 4/0 4/0
 27) 53: 10/5 12/9               62: 4/2 4/0
 28) 62: 25/23 19/13             32:
 29) 21: 13/11 9/8               53: 25/20 20/17
 30) 51: 25/24 25/20             64: 17/13 13/7
 31) 21: 20/18 18/17             62:
 32) 61: 24/18 17/16             53: 25/20 20/17
 33) 53: 11/8 16/11              22:
 34) 53: 8/5 18/13               63:
 35) 65: 11/5 23/18              21:
 36) 31: 13/12 18/15             64:
 37) 53: 24/19 19/16             63:
 38) 51: 12/7 7/6                44:
 39) 66: 16/10 15/9 10/4 9/3     42:
 40) 31: 3/0 6/5                 33:
 41) 54: 5/0 4/0                 33:
 42) 55: 6/1 6/1 5/0 5/0         21:
 43)  Doubles => 4                Takes
 44) 43: 4/0 4/1                 32:
 45) 32: 3/0 3/1                 41: 25/21 4/3
 46) 44: 2/0 2/0 1/0 1/0         54: 21/17 17/12
 47) 61: 1/0 1/0                  Losses 3 point

      Wins 3 point and the match
