; [Site "BackgammonGalaxy"]
; [Match ID "3901519"]
; [Player 1 "lasse"]
; [Player 2 "spacedoublesix"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.11.28"]
; [EventTime "20.18"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       spacedoublesix : 0
  1)                             41: 24/20 24/23
  2) 52: 13/8 24/22              64: 8/2 6/2
  3) 62: 13/7 7/5                32: 25/22 22/20
  4) 44: 25/21 24/20 8/4 8/4     65: 20/14 23/18
  5) 66: 13/7 13/7 21/15 15/9    43: 25/22 14/10
  6)  Doubles => 2                Takes
  7) 63: 9/3 6/3                 21: 25/23 13/12
  8) 63: 25/22 8/2               32: 25/23 13/10
  9) 66:                         32: 23/20 12/10
 10) 44: 25/21 6/2 6/2 20/16     21: 10/9 9/7
 11) 31: 25/24 21/18             66:
 12) 62: 7/5 24/18               11: 25/24 25/24 6/5 6/5
 13) 63: 8/5 22/16               33: 6/3 6/3 8/5 8/5
 14) 55:                         22: 13/11 11/9 10/8 10/8
 15) 52:                         64: 24/18 13/9
 16) 54: 25/21                   61: 24/18 13/12
 17) 54: 25/21                   52: 12/10 10/5
 18) 54: 25/21 18/13             31: 5/2 2/1
 19) 52: 21/19 18/13             62: 8/2 8/6
 20) 65: 25/19 19/14             64:
 21) 64: 21/15 21/17             55:
 22) 32: 14/11 17/15             62:
 23) 32: 11/8 8/6                54:
 24) 42: 15/11 11/9              52:
 25) 42: 9/5 15/13               64:
 26) 32: 13/10 10/8              53:
 27) 44: 13/9 9/5 5/1 5/1        64:
 28) 63: 13/10 10/4              32:
 29) 53: 8/5 6/1                 65:
 30) 43: 4/0 5/2                 31:
 31) 31: 3/0 3/2                 44:
 32) 54: 6/1 6/2                 33: 25/22 9/6 9/6 18/15
 33) 61: 5/0 5/4                 43: 5/1 15/12
 34) 53: 4/1 4/0                 63: 12/6 22/19
 35) 52: 4/0 2/0                 51: 18/13 13/12
 36) 65: 2/0 2/0                 53: 19/14 14/11
 37) 54: 2/0 2/0                 62: 12/6 11/9
 38) 44: 1/0 1/0 1/0 1/0         21: 9/7 7/6
 39) 55: 1/0
      Wins 3 point and the match
