; [Site "BackgammonGalaxy"]
; [Match ID "3921414"]
; [Player 1 "lasse"]
; [Player 2 "mperor"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.11.29"]
; [EventTime "18.09"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       mperor : 0
  1)                             54: 13/8 24/20
  2) 64: 24/18 18/14             62: 13/11 20/14
  3) 21: 25/24 13/11             43: 25/21 24/21
  4) 61: 11/5 6/5                62: 13/7 7/5
  5) 61: 13/7 8/7                44: 8/4 8/4 6/2 6/2
  6) 42: 24/20 24/22             64: 25/21 11/5
  7) 42:                         11: 6/5 4/3 4/3 8/7
  8) 21: 25/24                    Doubles => 2
  9)  Takes                      11: 8/7 7/6 2/1 2/1
 10) 66:                         42: 13/9 9/7
 11) 51:                         32: 7/4 6/4
 12) 42: 25/23                   61: 21/15 7/6
 13) 22: 25/23 13/11 11/9 9/7    32: 15/13 6/3
 14) 63: 7/1 6/3                 55: 21/16 21/16 16/11 16/11
 15) 63: 7/1 6/3                 64: 13/7 11/7
 16) 65: 23/17 17/12             31:
 17) 21: 8/6 8/7                 63:
 18) 61: 23/17 17/16             66:
 19)  Doubles => 4                Takes
 20) 22: 16/14 7/5 12/10 10/8    55:
 21) 21: 6/4 5/4                 42: 25/23
 22) 62: 13/7 8/6                53:
 23) 63: 14/8 8/5                65:
 24) 41: 6/2 2/1                 53:
 25) 63: 13/7 7/4                64:
 26) 52: 7/2 4/2                 65:
 27) 51: 7/2 5/4                 31:
 28) 32: 6/3 6/4                 43:
 29) 41: 4/0 4/3                 44:
 30) 43: 5/1 5/2                 66: 25/19 25/19 19/13 19/13
 31) 53: 4/0 3/0                 63: 13/7 13/10
 32) 41: 4/0 1/0                 61: 10/4 7/6
 33) 43: 3/0 3/0                  Losses 3 point

      Wins 3 point and the match
