; [Site "BackgammonGalaxy"]
; [Match ID "4033972"]
; [Player 1 "lasse"]
; [Player 2 "stuuuuuu"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.12.04"]
; [EventTime "19.32"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       stuuuuuu : 0
  1) 54: 24/20 13/8              42: 8/4 6/4
  2) 52: 20/15 15/13             31: 8/5 6/5
  3) 43: 13/9 9/6                42: 8/4 13/11
  4) 62: 24/18 18/16             31: 13/10 10/9
  5) 11: 25/24 6/5 6/5 24/23     63: 9/3 6/3
  6) 43: 13/9 8/5                65: 13/7 7/2
  7) 65:                         63: 11/5 5/2
  8) 64:                         55: 13/8 13/8 8/3 8/3
  9) 63:                         42: 24/22 22/18
 10) 65:                         61: 24/18 3/2
 11) 65:                         66:
 12) 43:                         65: 18/13 13/7
 13) 43:                         41: 18/14 2/1
 14) 64:                         52: 3/1 14/9
 15) 63:                         51: 7/2 9/8
 16) 43:                         53: 8/3 3/0
 17) 65:                         33: 6/3 6/3 3/0 3/0
 18) 42:                         63: 5/0 5/2
 19) 32:                         43: 4/0 3/0
 20) 31: 25/22 13/12             43: 25/21 21/18
 21) 64: 13/7 13/9               55:
 22) 51: 12/7 8/7                65:
 23) 41: 22/18 18/17             65:
 24) 61: 17/11 11/10             62: 25/23
 25) 11: 6/5 5/4 5/4 10/9        66:
 26) 44: 7/3 7/3 6/2 9/5         43:
 27) 55: 7/2 8/3 9/4 8/3         21: 25/24 4/2
 28) 33: 4/1 9/6 6/3 3/0         43:
 29)  Doubles => 2                Takes
 30) 33: 3/0 3/0 4/1 4/1         53:
 31) 33: 6/3 6/3 5/2 3/0         41: 25/21 4/3
 32) 62: 5/0 5/3                 41: 21/17 17/16
 33) 32: 3/0 2/0                 65: 16/11 11/5
 34) 55: 3/0 3/0 3/0 2/0         53: 5/0 3/0
 35) 42: 2/0 1/0                 66: 2/0 2/0 2/0 2/0
 36) 51: 1/0 1/0
      Wins 2 point
