; [Site "BackgammonGalaxy"]
; [Match ID "4047720"]
; [Player 1 "lasse"]
; [Player 2 "stevier"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.12.05"]
; [EventTime "11.24"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       stevier : 0
  1) 62: 24/18 13/11             63: 13/7 24/21
  2) 43: 25/21 21/18             52: 25/20 24/22
  3) 54: 11/6 18/14              65: 22/16 16/11
  4) 11: 25/24 6/5 6/5 24/23     51: 25/24 21/16
  5) 62: 13/7 7/5                42: 8/4 6/4
  6) 11: 6/5 5/4 5/4 23/22       54: 16/11 13/9
  7) 54: 22/18 18/13             63: 24/18 9/6
  8)  Doubles => 2                Takes
  9) 42: 13/9 9/7                42: 25/23 13/9
 10) 31: 8/7 13/10               44: 11/7 11/7 6/2 6/2
 11) 41: 13/9 10/9               33: 8/5 8/5 13/10 13/10
 12) 32: 24/22 13/10             54: 7/3 9/4
 13) 32: 25/22 10/8              52: 25/23 7/2
 14) 62: 22/16 16/14             33: 10/7 10/7 6/3 6/3
 15) 21: 6/4 4/3                 21: 23/22 7/5
 16) 64: 25/19 14/10             62: 25/23 7/1
 17) 52: 8/3 10/8                53: 25/22
 18) 66: 25/19 9/3 9/3 19/13     31: 25/24 4/1
 19) 55: 19/14 14/9 9/4 13/8     21: 24/23 5/3
 20) 54: 8/3 8/4                 52: 3/1
 21) 52: 8/3 8/6                 21: 5/3 3/2
 22) 54: 6/1 7/3                 31: 5/2 2/1
 23) 61: 7/6 6/0                 32: 4/1 4/2
 24) 54: 5/0 5/1                 64: 23/17 17/13
 25) 53: 6/1 6/3                 65: 13/7 23/18
 26) 31: 3/0 1/0                 32: 18/15 15/13
 27) 21: 4/2 3/2                 43:
 28) 55: 4/0 4/0 4/0 3/0         31:
 29) 21: 3/1 1/0                 32:
 30) 53: 3/0 3/0                 64: 25/19 19/15
 31) 42: 2/0 2/0                  Losses 3 point

      Wins 3 point and the match
