; [Site "BackgammonGalaxy"]
; [Match ID "4145521"]
; [Player 1 "lasse"]
; [Player 2 "klara"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.12.09"]
; [EventTime "18.50"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       klara : 0
  1)                             31: 8/5 6/5
  2) 31: 8/5 6/5                 43: 13/9 24/21
  3) 11: 5/4 5/4 6/5 6/5         64:
  4) 11: 8/7 8/7 24/23 23/22     31: 25/22 9/8
  5) 53: 13/8 8/5                21: 24/22 6/5
  6) 52: 24/22 13/8              65: 22/17 17/11
  7) 32: 25/22 5/3               55:
  8) 22: 7/5 5/3 13/11 11/9      55:
  9)  Doubles => 2                Takes
 10) 61: 13/7 22/21              64:
 11) 11: 22/21 9/8 8/7 7/6       66:
 12) 21: 13/11 11/10             64:
 13) 51: 22/21 21/16             43:
 14) 66: 21/15 21/15 16/10 10/4  52: 25/23 11/6
 15) 52: 7/2 4/2                 44:
 16) 61: 15/9 15/14              64:
 17) 54: 14/9 7/3                41: 25/24 13/9
 18) 65: 10/4 6/1                22:
 19) 61: 9/3 3/2                 32:
 20) 53: 9/4 4/1                 31:
 21) 41: 4/0 2/1                 53:
 22) 61: 6/0 6/5                 32:
 23) 62: 5/0 3/1                 52:
 24) 43: 5/1 5/2                 54: 25/20 20/16
 25) 61: 4/0 1/0                 52: 16/11 8/6
 26) 11: 1/0 1/0 1/0 1/0         55: 13/8 13/8 13/8 11/6
 27) 22: 2/0 2/0 2/0 3/1         62: 9/3 8/6
 28) 53: 4/0 3/0                 66: 8/2 8/2 8/2 8/2
 29) 63: 1/0
      Wins 3 point and the match
