; [Site "BackgammonGalaxy"]
; [Match ID "4184663"]
; [Player 1 "lasse"]
; [Player 2 "emcmillen3"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.12.11"]
; [EventTime "13.44"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       emcmillen3 : 0
  1) 64: 24/18 13/9              33: 13/10 13/10 10/7 10/7
  2) 54: 25/20 24/20             53: 24/21 21/16
  3) 62: 25/23 13/7               Doubles => 2
  4)  Takes                      62: 24/18 18/16
  5) 33: 25/22 8/5 8/5 6/3       52: 13/8 8/6
  6) 62: 13/7 6/4                43: 6/2 6/3
  7) 21: 25/24 25/23             43: 25/21 21/18
  8) 44: 25/21 25/21 24/20 20/16 66: 16/10 16/10 13/7 13/7
  9) 44: 16/12 12/8 8/4 8/4      22: 18/16 16/14 10/8 10/8
 10) 54: 20/15 15/11             53: 25/22 8/3
 11) 61: 25/24 20/14             51: 7/2 2/1
 12) 64: 25/21                   61: 7/1 8/7
 13) 61:                         65: 22/16 16/11
 14) 32: 25/23                   21: 7/5 6/5
 15) 55:                         64: 8/2 6/2
 16) 52:                         41: 11/7 7/6
 17) 41: 25/21                   41: 7/3 7/6
 18) 64: 25/21 21/15             31: 6/3 3/2
 19) 42: 11/7 13/11              62: 8/2 8/6
 20) 21: 15/13 13/12             32: 3/0 2/0
 21) 62: 21/15 12/10             41: 6/2 6/5
 22) 43: 21/17 15/12             62: 6/0 2/0
 23) 32: 10/7 21/19              62: 25/23 23/17
 24) 65: 13/8 19/13              62: 25/23 23/17
 25) 51:                         51: 17/12 12/11
 26) 32:                         41: 11/7 2/1
 27) 63: 25/19                   55: 7/2 5/0 5/0 5/0
 28) 65: 25/20 11/5              41: 3/0 1/0
 29) 51: 20/15 7/6               61: 3/0 1/0
 30)  Losses 3 point                                               Wins 3 point and the match
