; [Site "BackgammonGalaxy"]
; [Match ID "4272243"]
; [Player 1 "lasse"]
; [Player 2 "zhenni"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "1,00/0"]
; [EventDate "2023.12.15"]
; [EventTime "17.48"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

1 point match

 Game 1
 lasse : 0                       zhenni : 0
  1) 32: 24/21 13/11             44: 8/4 8/4 24/20 24/20
  2) 52: 25/20 13/11             32: 8/5 13/11
  3) 65: 25/20 20/14             64: 25/21
  4) 64: 24/18 18/14             61: 25/24 13/7
  5) 53: 8/3 6/3                 65: 21/15 15/10
  6) 62: 14/8 13/11              32: 13/11 10/7
  7) 55: 25/20 6/1 6/1 20/15     32: 25/23 13/10
  8) 44:                         22: 7/5 7/5 13/11 6/4
  9) 53: 25/22 11/6              11: 4/3 6/5 5/4 4/3
 10) 65:                         63: 11/5 23/20
 11) 52: 25/23 23/18             41: 11/7 5/4
 12) 21: 25/24 8/6               21: 10/8 8/7
 13) 52: 13/8 13/11              62: 20/18 18/12
 14) 31: 24/23 6/3               52: 7/2 4/2
 15) 55:                         21: 6/4 4/3
 16) 31: 25/24 11/8              52: 12/7 3/1
 17) 32:                         54: 20/15 15/11
 18) 43:                         22: 7/5 5/3 3/1 20/18
 19) 63:                         65: 18/12 11/6
 20) 44:                         42: 12/8 7/5
 21) 54:                         44: 8/4 6/2 5/1 4/0
 22) 42:                         51: 5/0 5/4
 23) 64:                         64: 6/0 6/2
 24) 65: 25/19 11/6              31: 3/0 1/0
 25)  Losses 1 point                                               Wins 1 point and the match
