; [Site "BackgammonGalaxy"]
; [Match ID "4315426"]
; [Player 1 "lasse"]
; [Player 2 "deadly_vino"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.12.17"]
; [EventTime "17.31"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       deadly_vino : 0
  1) 61: 13/7 8/7                63: 24/21 21/15
  2) 32: 13/10 24/22             62: 25/23 13/7
  3) 43: 22/18 13/10             31: 25/22 8/7
  4) 54: 25/20 24/20             64: 13/7 24/20
  5)  Doubles => 2                Takes
  6) 53: 10/5 8/5                42: 25/21 23/21
  7) 53: 8/3 6/3                 32: 25/23 6/3
  8) 53: 10/5 5/2                61: 25/24 13/7
  9) 32: 13/10 13/11             31: 6/3 24/23
 10) 53: 25/20 10/7              33: 13/10 10/7 7/4 7/4
 11) 43: 11/7 6/3                64: 23/17 17/13
 12) 63: 20/14 14/11             33: 7/4 7/4 4/1 4/1
 13) 54: 11/6 6/2                65: 21/15 21/16
 14) 65: 7/1 7/2                  Doubles => 4
 15)  Takes                      43: 16/12 15/12
 16) 31: 7/4 3/2                 42: 8/4 8/6
 17) 52: 7/2 6/4                 62: 12/6 6/4
 18) 53: 6/1 6/3                 63: 13/7 7/4
 19) 43: 20/16 16/13             61: 25/19 13/12
 20) 21: 25/23 2/1               51: 19/14 6/5
 21) 62: 25/23 23/17             55: 12/7 7/2 14/9 9/4
 22) 63:                         52: 5/0 2/0
 23) 62: 25/23 17/11             11: 6/5 6/5 6/5 1/0
 24) 54: 11/6 6/2                54: 5/0 4/0
 25) 31: 5/2 5/4                 61: 5/0 5/4
 26) 43: 23/19 19/16             63: 4/0 3/0
 27) 61: 16/10 10/9              51: 4/0 1/0
 28) 32: 9/6 2/0                 62: 4/0 4/2
 29) 21: 1/0 2/0                 53: 4/0 3/0
 30) 65: 6/0 4/0                 63: 4/0 2/0
                                  Wins 4 point and the match
