; [Site "BackgammonGalaxy"]
; [Match ID "4367400"]
; [Player 1 "lasse"]
; [Player 2 "3145"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.12.19"]
; [EventTime "22.03"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       3145 : 0
  1) 53: 8/3 6/3                 31: 8/5 6/5
  2) 11: 6/5 6/5 8/7 8/7         22: 6/4 6/4 13/11 13/11
  3) 32: 13/10 24/22             22: 11/9 11/9 9/7 9/7
  4) 52: 24/22 13/8              31: 24/21 24/23
  5) 21: 8/6 10/9                21: 13/11 11/10
  6) 65: 9/4 22/16               33:
  7)  Doubles => 2                Takes
  8) 61: 22/16 16/15             65:
  9) 55: 7/2 7/2 15/10 10/5      64: 25/21
 10) 64:                         52:
 11) 61: 25/24 16/10             41: 25/24 25/21
 12) 41: 13/9 10/9               54: 13/8 13/9
 13) 66: 13/7 7/1 13/7 7/1       11:
 14) 64: 9/3 9/5                 32:
 15) 65: 6/1                     62:
 16) 11: 24/23 23/22 3/2 2/1     55:
 17) 52: 6/1 5/3                 51:
 18) 52: 6/1 3/1                 53:
 19) 61: 22/16 16/15             53:
 20) 63: 15/9 5/2                62: 25/19
 21) 62: 9/3 3/1                 53:
 22) 11: 1/0 1/0 1/0 1/0         51:
 23) 32: 5/2 5/3                 63: 25/19 21/18
 24) 62: 3/0 2/0                 66: 21/15 19/13 19/13 13/7
 25) 32: 3/0 2/0                 43: 13/9 9/6
 26) 63: 3/0 2/0                 61: 18/12 7/6
 27) 61: 2/0 1/0                 21: 8/6 7/6
 28) 31: 1/0 1/0                 65: 12/6 15/10
 29) 43: 1/0
      Wins 3 point and the match
