; [Site "BackgammonGalaxy"]
; [Match ID "4421926"]
; [Player 1 "lasse"]
; [Player 2 "unutgts"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2023.12.22"]
; [EventTime "09.29"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       unutgts : 0
  1) 62: 24/18 13/11             32: 6/3 3/1
  2) 62: 25/23 11/5              43: 24/20 24/21
  3) 21: 25/24 6/4               43: 25/22 25/21
  4) 64: 25/21 24/18             63: 22/16 16/13
  5) 32: 8/5 6/4                 21: 25/24 25/23
  6) 32: 8/5 6/4                 63: 23/17 17/14
  7) 53: 25/20 23/20             22: 6/4 6/4 13/11 13/11
  8) 53: 25/20 13/10             42: 14/10 10/8
  9) 54: 20/15 15/11             61: 8/2 2/1
 10) 41: 13/9 9/8                62: 24/18 13/11
 11) 52: 11/6 10/8               11: 4/3 3/2 4/3 3/2
 12)  Doubles => 2                Takes
 13) 64: 13/7 13/9               41: 25/24 8/4
 14) 52: 9/7 20/15               32: 4/1 24/22
 15) 54: 8/3 7/3                 54:
 16) 63: 15/9 8/5                43:
 17) 11: 9/8 8/7 5/4 4/3         54:
 18) 63: 18/15 15/9              51: 25/24 13/8
 19) 42: 20/16 18/16             21: 24/23 8/6
 20) 61: 9/3 3/2                 53:
 21) 52: 7/2 7/5                 54:
 22) 52: 6/1 3/1                 52:
 23) 21: 16/15 15/13             33:
 24) 43: 16/13 13/9              64:
 25) 42: 13/9 9/7                61:
 26) 32: 9/6 7/5                 61:
 27) 54: 5/0 6/2                 55:
 28) 43: 6/2 6/3                 53:
 29) 32: 5/2 2/0                 44:
 30) 62: 5/0 5/3                 62: 25/19 19/17
 31) 44: 4/0 4/0 3/0 3/0         65: 17/11 11/6
 32) 42: 3/0 2/0                 53: 11/6 8/5
 33) 51: 3/0 1/0                 61: 11/5 13/12
 34) 65: 2/0 2/0                 33: 8/5 11/8 8/5 13/10
 35) 32: 2/0 1/0
      Wins 3 point and the match
