; [Site "BackgammonGalaxy"]
; [Match ID "4593584"]
; [Player 1 "lasse"]
; [Player 2 "tequila"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2023.12.29"]
; [EventTime "15.56"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       tequila : 0
  1) 61: 13/7 8/7                32: 13/10 13/11
  2) 41: 13/9 24/23              21: 11/9 10/9
  3) 66: 24/18 13/7 8/2 8/2      65: 13/7 7/2
  4) 53: 25/22 25/20             61: 9/3 3/2
  5) 43: 25/22 20/16             22:
  6)  Doubles => 2                Takes
  7) 63: 9/3 6/3                 43: 25/21 6/3
  8) 64: 25/21 16/10             42: 8/4 6/4
  9) 54: 25/20 10/6              42: 6/2 3/1
 10) 32: 7/4 6/4                 65: 25/20 20/14
 11) 62: 13/11 13/7              53: 25/20 20/17
 12) 22: 11/9 9/7 7/5 7/5        62: 17/11 13/11
 13) 63: 6/3                     52: 13/8 8/6
 14) 33: 7/4 7/4 5/2 5/2         65: 11/5 6/1
 15) 54: 25/20 20/16             33:
 16) 41: 16/12 4/3               21: 25/24 8/6
 17) 11: 6/5 6/5 6/5 3/2         62: 24/18 18/16
 18) 51: 12/7 7/6                55: 24/19 24/19 19/14 14/9
 19) 54: 25/20 20/16             32:
 20) 64: 16/10 10/6              33:
 21) 52: 6/1 3/1                 31:
 22) 52: 5/0 2/0                 31:
 23) 44: 5/1 4/0 4/0 4/0         51: 25/20
 24) 32: 25/22 22/20             63: 25/19 8/5
 25) 54: 25/20 20/16             41: 25/21 6/5
 26) 63: 16/13 13/7              41: 19/18 11/7
 27) 22:                         32: 16/13 7/5
 28) 62:                         52: 13/8 18/16
 29) 64:                         51: 16/11 11/10
 30) 65:                         52: 10/5 5/3
 31) 44:                         43: 20/16 16/13
 32) 62:                         51: 8/3 13/12
 33) 32:                          Doubles => 4
 34)  Takes                      43: 21/17 17/14
 35) 52:                         31: 14/11 11/10
 36) 33:                         11: 10/9 9/8 8/7 7/6
 37) 53:                         63: 12/6 6/3
 38) 64:                         32: 3/0 2/0
 39) 61:                         32: 3/0 3/1
 40) 61:                         21: 6/4 1/0
 41) 42:                         51: 5/0 5/4
 42) 42:                         32: 4/1 4/2
 43) 33: 25/22                   51: 6/1 1/0
 44) 62: 22/16 16/14             64: 6/0 4/0
 45) 11: 14/13 13/12 12/11 11/10 32: 4/1 2/0
 46) 61: 10/4 1/0                66: 2/0 2/0 1/0 1/0
 47) 32: 3/0 2/0                 62: 1/0 1/0
                                  Wins 4 point and the match
