; [Site "BackgammonGalaxy"]
; [Match ID "4681359"]
; [Player 1 "lasse"]
; [Player 2 "madagil73"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.01.02"]
; [EventTime "12.03"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       madagil73 : 0
  1) 32: 13/10 13/11             33: 24/21 24/21 13/10 13/10
  2) 55: 10/5 13/8 8/3 8/3       41: 21/20 13/9
  3) 44: 25/21 8/4 8/4 24/20     21: 25/23 9/8
  4)  Doubles => 2                Takes
  5) 31: 6/5 5/2                 22: 25/23 25/23 6/4 6/4
  6) 32: 25/23 25/22              Doubles => 4
  7)  Takes                      21: 6/5 5/3
  8) 42: 25/23                   22: 3/1 8/6 13/11 13/11
  9) 42: 25/23                   51: 6/1 8/7
 10) 54: 25/20 20/16             61: 10/9 23/17
 11) 21: 25/23 6/5               61: 23/17 10/9
 12) 52: 23/18 11/9              11: 25/24 8/7 8/7 17/16
 13) 42: 25/23                   41: 24/20 11/10
 14) 32: 25/23 25/22             33: 9/6 9/6 6/3 6/3
 15) 44:                         32: 11/8 10/8
 16) 33:                         42: 20/16 17/15
 17) 41:                         21: 16/14 15/14
 18) 32: 25/23 23/20             31: 16/13 14/13
 19) 32: 23/20 13/11             63:
 20) 62: 13/7 7/5                42: 25/23 13/9
 21) 64: 11/5 20/16              62: 25/23 13/7
 22) 22: 16/14 14/12 12/10 6/4   42: 7/5 5/1
 23) 52: 25/20 10/8              51: 23/18 18/17
 24) 43:                         42: 17/13 13/11
 25) 33:                         54: 23/18 11/7
 26) 53: 25/20 23/20             22: 18/16 16/14 8/6 8/6
 27) 21: 4/2 3/2                 62: 14/8 8/6
 28) 22: 5/3 5/3 3/1 3/1         42: 7/3 6/4
 29) 65: 23/17 20/15             53: 6/1 6/3
 30) 65: 15/9 17/12              44: 7/3 7/3 4/0 4/0
 31) 61: 9/3 12/11               64: 6/0 4/0
 32) 51: 20/19 19/14             55: 25/20 20/15 15/10 10/5
 33) 44: 25/21 14/10 11/7 10/6   21: 5/3 1/0
 34) 65: 23/17 17/12             42: 3/1 3/0
 35) 53: 21/16 12/9              41: 3/0 1/0
 36) 22: 7/5 9/7 7/5 16/14       64: 3/0 3/0
 37) 65: 14/8 8/3                11: 3/2 3/2 2/1 2/1
 38)  Losses 3 point                                               Wins 3 point and the match
