; [Site "BackgammonGalaxy"]
; [Match ID "4784493"]
; [Player 1 "lasse"]
; [Player 2 "belladonna"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.01.06"]
; [EventTime "16.36"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       belladonna : 0
  1)                             61: 13/7 8/7
  2) 22: 6/4 6/4 13/11 13/11     62: 13/7 24/22
  3) 53: 8/3 6/3                 52: 25/23 13/8
  4) 31: 13/10 11/10             61: 13/7 24/23
  5)  Doubles => 2                Takes
  6) 43: 11/7 10/7               31: 8/5 6/5
  7) 42: 24/22 10/6              21: 13/11 6/5
  8) 31: 24/21 22/21             64: 11/5 7/3
  9) 42: 13/9 9/7                66: 8/2 8/2 7/1 7/1
 10) 61: 13/7 7/6                65: 7/1 6/1
 11) 61: 21/15 15/14             66:
 12) 51: 21/16 16/15             42: 5/1 5/3
 13) 21: 7/5 6/5                 31: 6/3 3/2
 14) 65: 15/9 9/4                64: 6/2
 15) 63: 14/8 8/5                65:
 16) 32: 4/1 5/3                 42: 5/1 5/3
 17) 32: 7/4 7/5                 43:
 18) 54: 8/3 8/4                 63: 23/17 17/14
 19) 11: 3/2 3/2 1/0 4/3         33:
 20) 42: 5/1 3/1                 61:
 21) 55: 5/0 6/1 6/1 5/0         63: 25/19 19/16
 22) 41: 25/21 21/20             55: 14/9 9/4 16/11 11/6
 23) 65: 20/15 15/9              64: 6/0 4/0
 24) 42: 9/5 2/0                  Doubles => 4
 25)  Takes                      31: 3/0 1/0
 26) 52: 5/0 2/0                 41: 3/0 1/0
 27) 32: 4/1 4/2                 21: 2/0 1/0
 28) 62: 4/0 2/0                 21: 2/0 1/0
 29) 53: 3/0 3/0                 52: 3/0 2/0
 30) 61: 1/0 1/0                 64: 2/0 1/0
 31) 52: 1/0 1/0                 54: 1/0
                                  Wins 4 point and the match
