; [Site "BackgammonGalaxy"]
; [Match ID "4802843"]
; [Player 1 "lasse"]
; [Player 2 "philmstar"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.01.07"]
; [EventTime "11.19"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       philmstar : 0
  1) 62: 24/18 13/11             55: 13/8 8/3 8/3 13/8
  2) 11: 6/5 6/5 11/10 10/9      41: 13/9 8/7
  3) 61: 25/24 24/18             65:
  4) 65: 24/18 13/8              21: 25/23 9/8
  5)  Doubles => 2                Takes
  6) 32: 8/5 13/11               64: 24/18 18/14
  7) 52: 25/20 13/11             55:
  8) 66: 8/2 8/2 13/7 7/1        22:
  9) 66: 20/14 14/8 11/5 8/2     32: 25/22
 10) 31: 2/1 6/3                 61:
 11) 53: 8/3 18/15               66:
 12) 44: 18/14 14/10 15/11 11/7  54: 25/21
 13) 61: 10/4 5/4                54:
 14) 66: 9/3 7/1 6/0 6/0         21:
 15) 31: 5/2 1/0                 44:
 16) 42: 5/1 5/3                 52: 25/20
 17) 42: 4/0 4/2                 32:
 18) 41: 3/0 3/2                 65: 25/20 25/19
 19) 62: 3/0 2/0                  Losses 3 point

      Wins 3 point and the match
