; [Site "BackgammonGalaxy"]
; [Match ID "5104390"]
; [Player 1 "lasse"]
; [Player 2 "radiogaga"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.01.19"]
; [EventTime "16.32"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       radiogaga : 0
  1)                             41: 13/9 24/23
  2) 32: 13/10 13/11             54: 23/18 18/14
  3) 21: 25/24 13/11             63: 25/22 22/16
  4) 33: 24/21 24/21 6/3 6/3     32: 16/14 9/6
  5) 64: 25/21 21/15             64: 24/18 18/14
  6) 51: 6/5 10/5                54: 14/10 13/8
  7) 66:                         41: 13/9 10/9
  8) 22: 25/23 13/11 8/6 13/11   62: 25/23 8/2
  9) 52: 25/23 23/18             64: 25/21 13/7
 10) 61: 25/24 24/18             66:
 11) 53: 18/13 13/10             63:
 12) 32: 6/4 10/7                32: 25/23
 13) 21: 7/5 5/4                 43:
 14) 62: 24/18 11/9              55:
 15) 21: 9/7 8/7                 61: 25/24 23/17
 16) 44: 25/21 6/2 6/2 18/14     61: 25/24 17/11
 17)  Doubles => 2                Takes
 18) 66:                         55: 24/19 24/19 19/14 19/14
 19) 65: 25/20                   44: 9/5 9/5 6/2 6/2
 20) 61: 25/24                   62: 11/5 14/12
 21) 55:                         52: 13/8 8/6
 22) 51: 25/24 21/16             42: 14/10 12/10
 23) 51: 16/11 7/6               31: 6/3 3/2
 24) 54: 11/6 7/3                53: 8/3 6/3
 25) 62: 24/18 3/1               31: 10/7 7/6
 26) 54: 25/21 21/16             64: 5/1 8/2
 27) 51: 25/24 21/16             41: 25/24 8/4
 28) 64: 25/21                   41: 25/24 10/6
 29) 62:                         52: 6/1 6/4
 30) 51: 25/24                   31: 25/24 4/1
 31) 53:                         52: 6/1 5/3
 32) 65: 25/20                   43:
 33) 63:                         53:
 34) 43: 25/21                   54:
 35) 54: 25/20 16/12             32:
 36) 22: 20/18 18/16 16/14 12/10 21: 25/24 3/1
 37) 41: 20/16 14/13             42: 6/2 6/4
 38) 53: 25/20 16/13             42: 4/2
 39) 52: 20/15 16/14             51: 2/1
 40) 62: 15/9 14/12              42: 3/1
 41) 66: 13/7 13/7 12/6 10/4     61: 3/2
 42) 63: 9/3 6/3                 61: 2/1
 43) 51: 7/2 7/6                 61: 24/18 18/17
 44) 22: 4/2 2/0 2/0 6/4         11: 17/16 16/15 15/14 14/13
 45) 42: 6/2 6/4                 42: 13/11 11/7
 46) 32: 3/0 2/0                 41: 7/3 3/2
 47) 21: 3/2 2/0                 52: 24/19 19/17
 48) 51: 5/0 5/4                 52: 24/19 19/17
 49) 21: 4/2 4/3                 61: 17/11 17/16
 50) 61: 4/0 3/2                 62: 16/10 11/9
 51) 51: 4/0 4/3                 42: 10/6 9/7
 52) 44: 3/0 3/0 3/0 2/0         43: 7/3 6/3
 53) 42: 2/0 2/0                 44: 24/20 20/16 16/12 12/8
 54) 64: 2/0
      Wins 3 point and the match
