; [Site "BackgammonGalaxy"]
; [Match ID "5147336"]
; [Player 1 "lasse"]
; [Player 2 "ellimer"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.01.21"]
; [EventTime "13.15"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       ellimer : 0
  1) 21: 13/11 6/5               43: 24/20 13/10
  2) 32: 25/23 8/5               61: 25/24 8/2
  3) 63: 25/22 11/5              61: 8/2 24/23
  4)  Doubles => 2                Takes
  5) 41: 22/18 18/17             31: 25/22 23/22
  6) 43: 24/20 20/17             32: 24/21 13/11
  7) 61: 24/18 18/17             21: 13/11 22/21
  8) 31: 13/10 6/5               64: 21/15 15/11
  9) 44: 25/21 13/9 17/13 13/9   53: 13/10 6/1
 10) 42: 8/4 6/4                 43: 25/22 6/2
 11) 65: 17/11 17/12             62: 25/23 23/17
 12) 62:                         41: 17/13 2/1
 13) 11:                         52: 13/8 6/4
 14) 55: 25/20 25/20 25/20 11/6  55: 22/17 22/17 8/3 11/6
 15) 65: 9/3 9/4                 22: 17/15 17/15 15/13 15/13
 16) 62: 13/7 5/3                65: 13/7 7/2
 17) 53: 20/17 17/12             43:
 18) 62: 13/7 4/2                64:
 19) 63: 12/6 6/3                21: 25/23 4/3
 20) 53: 25/20 20/17             22: 10/8 8/6 6/4 6/4
 21) 31:                          Doubles => 4
 22)  Takes                      52: 11/6 10/8
 23) 43:                         22: 6/4 11/9 9/7 8/6
 24) 54: 25/20 6/2               52: 25/23 7/2
 25) 66:                         43: 6/2 4/1
 26) 43:                         63: 23/17 17/14
 27) 64:                         21: 14/12 12/11
 28) 22:                         63: 11/8 8/2
 29) 55: 25/20 20/15 20/15 15/10 61: 6/0 1/0
 30) 61: 20/19 19/13             54:
 31) 62: 20/14 10/8              32: 25/23 4/1
 32) 42: 14/10 10/8              62: 4/2
 33) 51: 3/2 13/8                42: 25/23
 34) 53: 25/20 15/12             33:
 35) 31: 12/9 8/7                63:
 36) 21: 9/7 7/6                 64:
 37) 44: 6/2 20/16 16/12 12/8    44:
 38) 53: 7/2 8/5                 65:
 39) 65: 8/2 8/3                 43:
 40) 51: 7/2 7/6                 54:
 41) 42: 5/1 3/1                 52:
 42) 43: 4/0 4/1                 31:
 43) 42: 6/2 2/0                 31:
 44) 52: 5/0 5/3                 64: 25/21 21/15
 45) 53: 6/1 3/0                 64: 15/11 11/5
 46) 51: 6/1 1/0                 63: 5/0 3/0
 47) 65: 3/0 3/0                 11: 2/1 1/0 1/0 1/0
 48) 61: 2/0 1/0                 21: 2/0 1/0
 49) 43: 2/0 2/0                 65: 3/0 2/0
 50) 51: 2/0 1/0                 31: 2/1 2/0
 51) 43: 1/0 1/0
      Wins 4 point and the match
