; [Site "BackgammonGalaxy"]
; [Match ID "5241123"]
; [Player 1 "lasse"]
; [Player 2 "ljc11"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.01.25"]
; [EventTime "12.56"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       ljc11 : 0
  1)                             54: 24/20 13/8
  2) 54: 24/20 13/8              51: 13/8 6/5
  3) 42: 25/23 24/20             51: 25/20 6/5
  4) 42: 25/21 23/21             66: 20/14 20/14 13/7 13/7
  5) 41: 21/20 13/9              21: 25/23 6/5
  6) 64: 25/21 8/2               42: 25/23 13/9
  7) 41: 25/21 21/20             62: 25/23 9/3
  8) 21: 9/7 8/7                 43: 24/20 23/20
  9) 66: 21/15 21/15 15/9 15/9   21: 8/6 8/7
 10)  Doubles => 2                Takes
 11) 61: 20/14 14/13             31: 8/5 6/5
 12) 62: 13/7 6/4                22: 23/21 7/5 5/3 8/6
 13) 63:                         64: 14/8 14/10
 14) 64: 25/21 21/15             61: 25/24 21/15
 15) 52: 15/10 10/8              65: 25/20 20/14
 16) 65: 7/1 6/1                 44: 25/21 8/4 8/4 6/2
 17) 62: 13/7 8/6                64: 21/15 15/11
 18) 21: 6/4 4/3                 61: 11/5 5/4
 19) 31: 6/3 7/6                 66: 20/14 20/14 14/8 8/2
 20) 54: 9/5 9/4                 52: 7/2 7/5
 21) 53: 7/2 8/5                  Doubles => 4
 22)  Takes                      62: 14/8 8/6
 23) 21: 13/11 4/3               61:
 24) 53: 7/2 11/8                61:
 25) 63: 8/2 8/5                 43: 25/21 21/18
 26) 11: 13/12 12/11 11/10 10/9  62: 18/16 16/10
 27) 65:                         11: 4/3 2/1 3/2 2/1
 28) 41:                         54: 10/5 6/2
 29) 31:                         43: 5/1 5/2
 30) 53:                         61: 6/0 6/5
 31) 52:                         32: 5/2 2/0
 32) 44:                         63: 5/0 5/2
 33) 62: 25/19 19/17             55: 4/0 4/0 3/0 3/0
 34) 64: 17/11 11/7              51: 2/0 1/0
 35)  Losses 3 point                                               Wins 3 point and the match
