; [Site "BackgammonGalaxy"]
; [Match ID "5615818"]
; [Player 1 "lasse"]
; [Player 2 "yves"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.02.09"]
; [EventTime "21.43"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       yves : 0
  1) 31: 8/5 6/5                 53: 8/3 6/3
  2) 55: 8/3 8/3 13/8 13/8       44: 13/9 13/9 9/5 9/5
  3) 52: 13/8 8/6                51: 13/8 6/5
  4) 66: 24/18 24/18 13/7 13/7   41: 8/4 5/4
  5)  Doubles => 2                Takes
  6) 64: 8/2 6/2                 55: 6/1 6/1 8/3 8/3
  7) 62: 18/16 16/10             53: 24/21 21/16
  8) 61: 10/9 7/1                51: 25/24
  9) 11:                         42: 25/21 6/4
 10) 22: 25/23 6/4 6/4 9/7       53:
 11) 42: 7/3 3/1                 52:
 12) 11: 8/7 18/17 17/16 16/15   61: 25/24
 13) 64: 25/19 15/11             61: 25/24 13/7
 14) 52: 23/18 19/17             42:
 15) 64: 18/12 17/13             43:
 16) 62: 12/6 11/9               31: 25/24
 17) 63: 13/7 7/4                51: 25/24
 18) 54: 7/2 7/3                 64: 24/18 18/14
 19) 62: 9/3 2/0                 22: 14/12 4/2 12/10 10/8
 20) 44: 6/2 4/0 6/2 6/2         21: 8/6 3/2
 21) 44: 4/0 4/0                 31: 24/21 3/2
 22) 31: 3/0 3/2                 55: 21/16 16/11 11/6 6/1
 23) 54: 5/0                     54: 24/20 20/15
 24) 31:                         21: 15/13 13/12
 25) 43:                         63: 12/6 24/21
 26) 31:                          Doubles => 4
 27)  Takes                      52: 21/16 16/14
 28) 51:                         64: 14/8 8/4
 29) 43:                         41: 4/0 1/0
 30) 33:                         32: 6/3 6/4
 31) 51:                         52: 5/0 5/3
 32) 33:                         51: 4/0 2/1
 33) 54: 25/20 20/16             51: 4/0 1/0
 34) 64: 16/12 12/6              55: 4/0 3/0 3/0 3/0
 35) 55: 6/1 3/0 3/0 2/0         41: 3/0 1/0
 36) 51: 2/0 1/0                 41: 2/0 1/0
 37) 54: 2/0 2/0                 53: 2/0
                                  Wins 4 point and the match
