; [Site "BackgammonGalaxy"]
; [Match ID "5904420"]
; [Player 1 "lasse"]
; [Player 2 "shh"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.02.21"]
; [EventTime "18.33"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       shh : 0
  1)                             41: 13/9 24/23
  2) 65: 24/18 18/13             42: 8/4 6/4
  3) 65: 24/18 18/13             22: 9/7 7/5 23/21 13/11
  4) 31: 8/5 6/5                 63: 24/18 21/18
  5) 43: 13/9 9/6                21: 11/9 6/5
  6) 62: 13/11 11/5              32: 6/3 9/7
  7) 63: 13/10 10/4              62: 13/7 8/6
  8) 54: 13/8 6/2                31: 6/3 7/6
  9) 65: 13/8 8/2                65: 8/2 7/2
 10) 41: 8/4 6/5                 42: 13/9 13/11
 11) 65: 8/2 8/3                 43: 9/5 11/8
 12)  Doubles => 2                Takes
 13) 21: 5/3 2/1                 52: 6/1 5/3
 14) 62: 13/11 11/5              65: 18/12 12/7
 15) 51: 25/24 6/1               54:
 16) 33: 5/2 5/2 6/3 6/3         53:
 17) 61: 24/18 18/17             62: 25/19
 18) 62: 17/11 11/9              52:
 19) 64: 9/5 5/0                 65: 25/19
 20) 53: 5/0 5/2                 43:
 21) 64: 4/0 4/0                 32:
 22) 64: 3/0 3/0                 22:
 23) 31: 3/0 3/2                  Losses 3 point

      Wins 3 point and the match
