; [Site "BackgammonGalaxy"]
; [Match ID "6036606"]
; [Player 1 "lasse"]
; [Player 2 "dman"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.02.27"]
; [EventTime "19.51"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       dman : 0
  1)                             32: 13/10 24/22
  2) 32: 6/3 3/1                 53: 25/22 25/20
  3) 11: 6/5 6/5 24/23 8/7       64: 25/21 13/7
  4)  Doubles => 2                Takes
  5) 43: 8/4 7/4                 61: 25/24 13/7
  6) 63: 25/22 22/16             21: 10/9 24/22
  7) 64: 25/21 21/15             33: 6/3 6/3 13/10 13/10
  8) 31: 25/24 8/5                Doubles => 4
  9)  Takes                      65: 10/4 9/4
 10) 41: 24/20 24/23             44: 22/18 22/18 18/14 18/14
 11) 65: 20/15 15/9              22: 25/23 7/5 7/5 8/6
 12) 62: 13/7 9/7                65: 23/17 6/1
 13) 21: 5/3 7/6                 61: 17/11 6/5
 14) 63: 13/7 6/3                22: 11/9 9/7 7/5 5/3
 15) 61: 13/7 7/6                64: 14/8 14/10
 16) 43: 6/2 13/10               54: 10/5 5/1
 17) 52: 7/2 10/8                52: 8/3 3/1
 18) 52: 13/8 8/6                52: 8/3 8/6
 19) 65: 7/1 6/1                 55: 6/1 6/1 6/1 5/0
 20) 65: 23/17 17/12             54: 5/0 5/1
 21) 64: 12/6 6/2                21: 3/2 2/0
 22) 44:                         62: 4/0 4/2
 23) 52: 25/23 23/18             55:
 24) 32: 8/5 18/16               62:
 25) 64: 16/10 10/6              64:
 26) 33: 6/3 3/0 3/0 3/0         22:
 27) 63: 6/0 6/3                 43: 25/22 22/18
 28) 62: 25/19 5/3               11: 18/17 17/16 16/15 15/14
 29) 62: 19/13 13/11             53: 25/22 22/17
 30) 32: 25/23 11/8              65: 25/19 19/14
 31) 21: 8/6 2/1                 41: 14/10 3/2
 32) 53: 25/20 6/3               52: 10/8 8/3
 33) 41: 20/16 16/15             51: 3/0 1/0
 34) 66: 15/9 9/3 5/0 5/0        51: 3/0 1/0
 35) 54: 4/0 4/0                 31: 3/0 1/0
 36) 52: 3/0 2/0                 65: 2/0 1/0
 37) 43: 3/0 2/0                 52: 1/0 1/0
 38) 42: 1/0 1/0                 44: 1/0
                                  Wins 4 point and the match
