; [Site "BackgammonGalaxy"]
; [Match ID "6344177"]
; [Player 1 "lasse"]
; [Player 2 "rockdave66"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.03.11"]
; [EventTime "20.52"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       rockdave66 : 0
  1) 61: 13/7 8/7                43: 24/20 24/21
  2) 61: 6/5 13/7                11: 25/24 21/20 6/5 6/5
  3) 32: 25/22 24/22             63: 20/14 14/11
  4) 51: 24/23 23/18              Doubles => 2
  5)  Takes                      62: 13/7 7/5
  6) 41: 25/21 22/21             21: 13/11 24/23
  7) 22: 6/4 6/4 13/11 7/5       61: 23/22 22/16
  8) 32: 8/5 11/9                64:
  9) 41: 9/8 22/18               61: 25/24 13/7
 10) 63: 25/22 22/16             32: 24/22 6/3
 11) 42: 7/3 13/11               31: 25/22 13/12
 12) 62: 25/23                   43: 7/3 12/9
 13) 54: 25/21                   44: 22/18 18/14 11/7 11/7
 14) 43: 25/21                   55: 7/2 7/2 14/9 13/8
 15) 51: 25/24                   61: 8/2 8/7
 16) 54: 25/21                   63: 7/1 9/6
 17) 55:                         32: 6/3 3/1
 18) 42: 25/21                   66: 9/3 8/2 8/2 6/0
 19) 21:                         54: 5/0 6/2
 20) 66: 25/19 21/15 21/15 15/9  21: 2/0 1/0
 21) 11: 8/7 8/7 9/8 15/14       42: 5/1 5/3
 22)  Losses 3 point                                               Wins 3 point and the match
