; [Site "BackgammonGalaxy"]
; [Match ID "6404204"]
; [Player 1 "lasse"]
; [Player 2 "blotto"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.03.14"]
; [EventTime "09.31"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       blotto : 0
  1) 43: 13/9 13/10              62: 24/18 18/16
  2) 61: 25/24 24/18             52: 16/11 13/11
  3) 53: 10/5 8/5                55: 13/8 13/8 8/3 8/3
  4) 53: 18/13 13/10             62: 24/18 18/16
  5) 62: 10/4 6/4                51: 16/11 11/10
  6) 21: 6/4 4/3                  Doubles => 2
  7)  Takes                      51: 10/5 6/5
  8) 51: 8/3 8/7                 42: 8/4 6/4
  9) 63: 13/7 7/4                32: 13/10 13/11
 10) 52: 7/2 4/2                 31: 10/7 8/7
 11) 43: 13/9 13/10              64: 11/5 8/4
 12) 42: 9/5 10/8                31: 11/8 8/7
 13) 43: 5/1 8/5                 52: 7/2 4/2
 14) 66:                         54: 11/7 7/2
 15) 53: 6/1 5/2                 41: 7/3 7/6
 16) 62: 24/18 18/16             32: 3/0 2/0
 17) 51: 16/11 11/10             21: 6/4 4/3
 18) 52: 10/5 5/3                65: 6/0 5/0
 19) 21: 3/1 2/1                 66: 6/0 6/0 5/0 5/0
 20) 31: 6/3 3/2                 52: 4/0 4/2
 21) 32: 24/21 21/19             42: 3/0 2/0
 22) 61: 19/13 13/12             44: 3/0 3/0 2/0 2/0
                                  Wins 3 point and the match
