; [Site "BackgammonGalaxy"]
; [Match ID "6428750"]
; [Player 1 "lasse"]
; [Player 2 "marian1958"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.03.15"]
; [EventTime "09.16"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       marian1958 : 0
  1)                             43: 24/20 24/21
  2) 33: 8/5 8/5 6/3 6/3         53:
  3)  Doubles => 2                Takes
  4) 52: 13/8 6/4                22: 25/23 25/23 23/21 23/21
  5) 63: 25/22 24/18             51: 8/7 6/1
  6) 21: 25/24 25/23             52: 25/23 7/2
  7) 66:                         22: 6/4 4/2 13/11 13/11
  8) 65: 25/20 22/16             62: 11/5 11/9
  9) 63: 25/22                   43: 9/5 13/10
 10) 43: 25/21 24/21              Doubles => 4
 11)  Takes                      62: 10/8 8/2
 12) 21: 13/11 22/21             65: 21/15 15/10
 13) 62: 21/15 13/11             43: 25/21 13/10
 14) 53: 25/22 11/6              43: 21/18 18/14
 15) 66:                         52: 13/8 23/21
 16) 43: 25/22 13/9              61: 21/15 15/14
 17) 33: 21/18 18/15 15/12 12/9  22: 25/23 8/6 6/4 6/4
 18) 61: 25/24 24/18             65: 23/18 18/12
 19) 31: 25/22 6/5               62: 21/15 14/12
 20) 62: 18/12 12/10             32: 25/23 14/11
 21) 32: 9/6 10/8                11: 11/10 10/9 9/8 2/1
 22) 66: 22/16 16/10 8/2 8/2     21: 25/24 8/6
 23) 51: 9/4 5/4                 51: 12/7 7/6
 24) 41: 6/2 2/1                 42:
 25) 32: 10/7 8/6                44:
 26) 31: 7/4 4/3                 62:
 27) 51: 6/1 3/2                 65:
 28) 33: 6/3 6/3 5/2 5/2         11:
 29) 61: 22/16 2/1               42:
 30) 65: 22/16 16/11             63: 25/19 12/9
 31) 43: 25/22 22/18             21: 9/7 8/7
 32) 65:                         51: 6/1 8/7
 33) 63: 25/22 11/5              22: 7/5 5/3 7/5 5/3
 34) 41:                         31: 19/16 7/6
 35) 41:                         63: 16/10 6/3
 36) 54:                         66: 10/4 6/0 6/0 6/0
 37) 52:                         43: 4/0 3/0
 38) 11:                         62: 5/0 5/3
 39) 62: 25/19 19/17             51: 4/0 1/0
 40) 32: 17/14 14/12             54: 4/0 3/0
 41) 61: 12/6 1/0                65: 3/0 3/0
 42) 54: 5/0 4/0                 53: 2/0 2/0
 43) 55: 6/1 4/0 3/0 3/0         31: 1/0
                                  Wins 4 point and the match
