; [Site "BackgammonGalaxy"]
; [Match ID "6608293"]
; [Player 1 "lasse"]
; [Player 2 "mehdi20"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.03.22"]
; [EventTime "16.40"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       mehdi20 : 0
  1)                             53: 8/3 6/3
  2) 52: 13/8 13/11              61: 13/7 8/7
  3) 65: 11/5 13/8                Doubles => 2
  4)  Takes                      61: 13/7 24/23
  5) 55: 8/3 8/3 6/1 6/1         31:
  6) 33: 8/5 5/2 5/2 24/21       65: 25/20
  7) 61: 6/5 13/7                62:
  8) 52: 7/5 13/8                53:
  9) 21: 8/6 8/7                 51:
 10) 21: 21/20 7/5               52:
 11) 53: 24/21 21/16             52:
 12) 51: 16/11 11/10             62:
 13) 41: 8/4 5/4                 33:
 14) 32: 20/17 17/15             63:
 15) 21: 15/13 6/5               43:
 16) 63: 13/7 7/4                52:
 17) 33: 6/3 6/3 10/7 4/1        64: 25/19
 18) 21: 7/5 1/0                 51:
 19) 42: 5/1 5/3                 22:
 20) 54: 5/0 5/1                 54: 25/20
 21) 65: 4/0 4/0                  Losses 3 point

      Wins 3 point and the match
