; [Site "BackgammonGalaxy"]
; [Match ID "6611973"]
; [Player 1 "lasse"]
; [Player 2 "asdollamirza"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.03.22"]
; [EventTime "19.27"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       asdollamirza : 0
  1)                             54: 13/8 24/20
  2) 64: 24/18 18/14             22: 13/11 13/11 6/4 6/4
  3) 53: 25/20 8/5               65: 25/20 11/5
  4) 61: 25/24                   21: 11/9 6/5
  5) 31: 25/22 6/5               62: 25/23 9/3
  6) 22: 25/23 24/22 6/4 6/4     53: 25/20 23/20
  7) 33: 25/22 13/10 13/10 13/10 52: 8/6 6/1
  8) 31: 25/24 10/7              53: 25/20 8/5
  9) 54: 23/18 22/18             44: 13/9 13/9 24/20 20/16
 10) 54: 22/18 18/13              Doubles => 2
 11)  Takes                      21: 20/18 5/4
 12) 43: 25/22 13/9              64:
 13) 41: 8/7 13/9                22: 25/23 25/23 20/18 20/18
 14) 62: 25/23 24/18             55: 8/3 8/3 23/18 23/18
 15) 54:                         52: 18/13 4/2
 16) 52: 25/23                   42: 25/23 13/9
 17) 21: 25/24 8/6               22: 4/2 4/2 3/1 3/1
 18) 63: 25/22                   53: 18/13 13/10
 19) 42: 25/21 13/11             65: 10/4 9/4
 20) 61:                         51: 9/4 4/3
 21) 42:                         64: 9/3 18/14
 22) 53:                         31: 23/20 14/13
 23) 55:                         61: 20/14 18/17
 24) 31:                         31: 17/14 13/12
 25) 61:                         33: 12/9 9/6 14/11 11/8
 26) 33:                         55: 14/9 9/4 8/3 6/1
 27) 62:                         22: 6/4 4/2 6/4 4/2
 28) 64: 25/19                   51: 5/0 5/4
 29) 62: 25/19                   51: 4/0 4/3
 30) 61: 25/19 19/18             64: 4/0 4/0
 31) 65: 18/12 19/14             41: 3/0 1/0
 32) 44: 10/6 10/6 14/10 10/6    61: 3/0 1/0
 33) 32: 9/6 19/17               52: 2/0 3/0
 34)  Losses 3 point                                               Wins 3 point and the match
