; [Site "BackgammonGalaxy"]
; [Match ID "6673882"]
; [Player 1 "lasse"]
; [Player 2 "tamu"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.03.25"]
; [EventTime "09.17"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       tamu : 0
  1)                             63: 24/18 13/10
  2) 61: 13/7 8/7                31: 25/22 6/5
  3) 51: 13/8 24/23              42: 24/20 22/20
  4) 44: 24/20 13/9 13/9 13/9    32: 25/23 8/5
  5) 62: 25/23 8/2               52: 25/23 10/5
  6) 62: 25/23 9/3               64: 13/7 7/3
  7) 51: 23/18 23/22             54: 25/20 6/2
  8) 52: 25/23 23/18             21: 25/23 23/22
  9) 42: 25/23 22/18             22: 22/20 6/4 4/2 13/11
 10) 54: 25/21 21/16             42: 13/9 11/9
 11) 62: 25/23 18/12             32: 25/23 25/22
 12)  Doubles => 2                Takes
 13) 65: 18/12 23/18             61: 20/14 23/22
 14) 55: 18/13 18/13 12/7 12/7   65: 20/14 9/4
 15) 54: 6/2 13/8                33: 25/22 9/6 6/3 8/5
 16) 54: 13/9 7/2                63: 14/8 14/11
 17) 22: 8/6 6/4 6/4 9/7         43: 8/4 11/8
 18) 61: 7/1 2/1                 11: 5/4 4/3 8/7 8/7
 19) 43: 6/2 7/4                 43: 7/3 7/4
 20) 52: 9/4 9/7                 32: 22/20 4/1
 21) 52: 7/2 4/2                 43: 20/16 16/13
 22) 64: 8/2 8/4                 21: 3/1 13/12
 23) 63: 7/1 7/4                 63: 12/6 6/3
 24) 63: 6/0 4/1                 52: 20/15 20/18
 25) 32: 6/4 4/1                  Losses 3 point

      Wins 3 point and the match
