; [Site "BackgammonGalaxy"]
; [Match ID "6711461"]
; [Player 1 "lasse"]
; [Player 2 "ayan20"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.03.26"]
; [EventTime "18.33"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       ayan20 : 0
  1)                             65: 24/18 18/13
  2) 22: 13/11 13/11 6/4 6/4     44: 13/9 13/9 9/5 9/5
  3) 43: 13/9 24/21              41: 8/4 6/5
  4) 42: 25/21 11/9              43: 25/22 8/4
  5) 31: 25/22 22/21             41: 25/24 8/4
  6)  Doubles => 2                Takes
  7) 54: 25/21 8/3               42: 25/23
  8) 62: 9/3 11/9                21: 25/23 5/4
  9) 64: 25/21 13/7              54: 25/20 24/20
 10) 63: 13/7 24/21              65: 13/7 7/2
 11) 22: 3/1 3/1 9/7 9/7         42: 25/23 6/2
 12) 65: 21/15 15/10             54: 20/15 20/16
 13) 54: 25/21 21/16             54: 16/11 13/9
 14) 32: 25/22 7/5               55: 13/8 8/3 13/8 8/3
 15) 44: 25/21 7/3 7/3 7/3       42: 15/11 11/9
 16) 21: 3/1 6/5                 21: 11/9 6/5
 17) 52: 8/3 8/6                 65: 23/17 17/12
 18) 31: 21/18 18/17             21: 9/8 8/6
 19) 11: 25/24 6/5 5/4 4/3        Doubles => 4
 20)  Takes                      65: 23/17 9/4
 21) 63:                         42: 6/4 17/13
 22) 51: 25/24 6/1               41: 23/19 19/18
 23) 52:                         51: 12/7 7/6
 24) 41: 25/24 5/1               51: 13/8 9/8
 25) 21: 5/3 3/2                 52: 18/13 13/11
 26) 31: 3/2 4/1                 61: 11/5 5/4
 27) 53: 4/1                     44: 8/4 8/4 4/0 4/0
 28) 44:                         63: 6/0 5/2
 29) 62: 24/18 18/16             31: 6/3 6/5
 30) 61: 16/10 10/9              31: 3/0 5/4
 31) 54: 24/19 19/15             54: 5/0 5/1
 32) 33:                         52: 4/0 4/2
 33) 43:                         53: 4/0 4/1
 34)  Losses 3 point                                               Wins 3 point and the match
