; [Site "BackgammonGalaxy"]
; [Match ID "6712137"]
; [Player 1 "lasse"]
; [Player 2 "mehmetoymak"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.03.26"]
; [EventTime "19.00"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       mehmetoymak : 0
  1) 52: 13/8 24/22              11: 6/5 6/5 8/7 8/7
  2) 42: 8/4 6/4                 63: 13/7 13/10
  3) 52: 22/17 17/15             41: 25/24
  4)  Doubles => 2                Takes
  5) 22: 15/13 13/11 13/11 24/22 41: 25/24 24/20
  6) 54: 22/17 17/13             41: 24/20 6/5
  7) 41: 11/7 8/7                61: 20/14 7/6
  8) 62: 25/23 13/7              61: 20/14 24/23
  9) 54: 7/2 6/2                 43: 25/22 13/9
 10) 54: 8/3 7/3                 53: 25/20 20/17
 11) 21: 25/24 7/5               54: 24/20 20/15
 12) 61: 25/24 23/17             43: 15/11 11/8
 13) 51: 25/24 13/8              65: 25/20 20/14
 14) 52: 24/22 22/17             64:
 15) 63: 24/21 21/15             51: 25/20 9/8
 16) 41: 25/21 6/5               33:
 17) 22: 24/22 15/13 8/6 5/3     52: 25/20 8/6
 18) 21: 6/5 5/3                 61: 25/24 24/18
 19) 22: 3/1 3/1 6/4 4/2         62: 6/4 14/8
 20) 42: 25/21 6/4               11:
 21) 62: 13/7 4/2                53: 25/20
 22) 32: 13/10 7/5               52: 25/20
 23) 53: 25/22 22/17             65: 25/20 25/19
 24) 64: 10/6 22/16              32:
 25) 41: 6/2 17/16               44:
 26) 66: 21/15 16/10 16/10 15/9  31:
 27) 33: 13/10 10/7 10/7 10/7    52: 25/20 14/12
 28) 32: 9/6 6/4                 52: 20/15 13/11
 29) 52: 7/2 4/2                 65: 14/8 13/8
 30) 63: 7/1 7/4                 62: 12/6 8/6
 31) 63: 4/0 3/0                 32: 20/17 8/6
 32) 53: 4/0 3/0                 32: 15/12 7/5
 33) 52: 4/0 2/0                 63: 12/6 20/17
 34) 21: 2/0 1/0                 31: 17/14 7/6
 35) 32: 2/0 2/0                 65: 17/11 11/6
 36) 53: 2/0 2/0                 65: 14/8 11/6
 37) 21: 2/1 1/0                 42: 8/4 5/3
 38) 21: 1/0 1/0
      Wins 3 point and the match
