; [Site "BackgammonGalaxy"]
; [Match ID "6731954"]
; [Player 1 "lasse"]
; [Player 2 "heywood"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.03.27"]
; [EventTime "14.48"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       heywood : 0
  1)                             31: 8/5 6/5
  2) 62: 24/18 13/11             21: 24/22 8/7
  3) 52: 25/23 23/18             53: 25/22 6/1
  4) 52: 25/23 23/18             42: 24/20 22/20
  5) 54: 11/7 7/2                52: 13/8 22/20
  6) 41: 13/9 9/8                21: 20/18 6/5
  7) 31: 6/3 3/2                 42: 5/1 18/16
  8) 41: 13/9 9/8                64: 25/21 21/15
  9) 21: 6/4 4/3                 42: 15/11 13/11
 10) 66: 13/7 13/7 7/1 7/1       44: 13/9 13/9 13/9 9/5
 11) 62: 8/2 8/6                 63: 9/3 9/6
 12) 52: 8/3 6/4                 42: 6/2 5/3
 13) 63: 8/2 4/1                  Doubles => 2
 14)  Takes                      65: 8/2 8/3
 15) 62: 8/2 6/4                 41: 20/16 3/2
 16) 63: 18/12 12/9              65: 25/20 11/5
 17)  Doubles => 4                Takes
 18) 63: 18/12 12/9              64: 11/5 5/1
 19) 21: 4/2 2/1                 32: 6/3 3/1
 20) 11: 9/8 9/8 8/7 8/7         64: 20/14 14/10
 21) 22: 7/5 7/5 6/4 6/4         41:
 22) 65: 5/0 5/0                 42:
 23) 31: 4/1 4/3                 51: 25/20 20/19
 24) 43: 3/0 3/0                 63: 19/13 13/10
 25) 64: 3/0 2/0                 64: 10/4 10/6
 26) 52: 2/0 2/0                 61: 6/0 1/0
 27) 55: 2/0 2/0 1/0 1/0         66: 6/0 5/0 5/0 5/0
 28) 53: 1/0 1/0                  Losses 3 point

      Wins 3 point and the match
