; [Site "BackgammonGalaxy"]
; [Match ID "6743213"]
; [Player 1 "lasse"]
; [Player 2 "ozarks99"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.03.27"]
; [EventTime "22.51"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       ozarks99 : 0
  1) 21: 13/11 6/5               43: 24/20 13/10
  2) 41: 25/21 6/5               61: 25/24 10/4
  3) 41: 25/21 6/5               42: 25/21 6/4
  4) 43: 25/21 24/21             52: 25/23 23/18
  5)  Doubles => 2                Takes
  6) 32: 13/11 24/21             52: 18/13 24/22
  7) 63: 13/7 7/4                61: 25/24 24/18
  8) 63: 13/7 7/4                31: 25/22 13/12
  9) 33: 25/22 21/18 21/18 21/18 52: 13/8 12/10
 10) 63: 18/15 15/9              43: 25/22 8/4
 11) 21: 9/7 8/7                 51: 8/3 4/3
 12) 42: 25/21 11/9              53: 13/8 8/5
 13) 21: 11/9 21/20              64:
 14) 52: 20/15 15/13             65:
 15) 43: 18/14 13/10             55:
 16) 43: 10/6 14/11              22: 25/23 6/4 6/4 8/6
 17) 65: 18/13 11/5              44: 13/9 13/9 9/5 9/5
 18) 62: 13/7 6/4                65: 8/2 6/1
 19) 43: 5/1 4/1                 61:
 20) 64: 8/2 8/4                 42: 25/23
 21) 61: 25/24 24/18             11:
 22) 65: 18/12 7/2               54:
 23) 54: 7/2 9/5                 55:
 24) 31: 9/6 7/6                 21:
 25) 43: 12/8 8/5                53: 25/22
 26) 33: 5/2 5/2 5/2 5/2         43: 25/22
 27) 61: 6/0 2/1                 54: 25/20 22/18
 28) 41: 6/5 5/1                 65: 25/20 22/16
 29) 53: 6/1 4/1                 42: 22/20 16/12
 30) 52: 6/1 2/0                 53: 12/7 18/15
 31) 64: 4/0 4/0                  Losses 3 point

      Wins 3 point and the match
