; [Site "BackgammonGalaxy"]
; [Match ID "6857503"]
; [Player 1 "lasse"]
; [Player 2 "onemilliongame"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [EventDate "2024.04.01"]
; [EventTime "15.43"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 lasse : 0                       onemilliongame : 0
  1)                             41: 13/9 24/23
  2) 62: 24/18 18/16             61: 25/24 24/18
  3) 43: 16/13 24/20             63: 13/7 8/5
  4) 54: 25/20 6/2               64: 25/21
  5)  Doubles => 2                Takes
  6) 42: 8/4 4/2                 42: 25/21
  7) 62: 13/7 6/4                53: 25/22 25/20
  8) 31: 8/5 5/4                 41: 25/24
  9) 22: 7/5 5/3 20/18 13/11     62:
 10) 11: 6/5 5/4 4/3 11/10       21: 25/24
 11) 44: 13/9 9/5 13/9 9/5       52:
 12) 52: 18/13 13/11             31: 25/24
 13) 51: 10/5 11/10              41: 25/24 13/9
 14) 43: 13/9 13/10              32: 8/5 6/4
 15) 63: 10/4 9/6                62: 6/4 13/7
 16) 32: 8/5 5/3                 21: 6/5 9/7
 17) 54: 10/5 6/2                43: 13/9 9/6
 18) 51: 5/0 5/4                 64: 24/18 18/14
 19) 11: 6/5 6/5 4/3 3/2         21: 14/12 12/11
 20) 22: 5/3 5/3 5/3 5/3         64: 24/18 24/20
 21) 64: 4/0 4/0                 31: 24/21 18/17
 22) 21: 25/23 23/22              Doubles => 4
 23)  Takes                      42: 7/3 7/5
 24) 21: 25/23 23/22             52: 25/20 5/3
 25) 65:                         66: 21/15 15/9 9/3 20/14
 26) 41: 25/24                   53: 14/9 11/8
 27) 52: 3/1                     54: 25/21 6/1
 28) 63:                         43: 8/4 4/1
 29) 66:                         22: 8/6 6/4 4/2 9/7
 30) 41:                         62: 17/11 11/9
 31) 53:                         43: 9/5 5/2
 32) 41:                         53: 20/15 15/12
 33) 66:                         42: 12/8 8/6
 34) 44:                         43: 21/17 17/14
 35) 21:                         62: 7/5 14/8
 36) 41:                         51: 8/3 3/2
 37) 64:                         31: 6/3 5/4
 38) 31:                         31: 3/0 4/3
 39) 32:                         11: 2/1 1/0 3/2 2/1
 40) 66:                         44: 4/0 4/0 6/2 6/2
 41) 33:                         66: 5/0 5/0 3/0 3/0
 42) 53: 25/22 22/17             51: 1/0 2/0
 43)  Losses 3 point                                               Wins 3 point and the match
