; [Site "BackgammonGalaxy"]
; [Match ID "7967468"]
; [Player 1 "d_dubs"]
; [Player 2 "lasse"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.05.15"]
; [EventTime "18.45"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 d_dubs : 0                      lasse : 0
  1)                             63: 24/18 13/10
  2) 32: 24/21 24/22             32: 13/10 6/4
  3) 61: 25/24 13/7              62: 25/23 24/18
  4) 51: 25/20 22/21             43: 25/21 21/18
  5) 51: 13/8 21/20              51: 13/8 23/22
  6) 31: 8/5 6/5                 32: 6/3 3/1
  7) 31: 25/24 6/3               52: 25/23
  8) 44: 8/4 8/4 8/4 6/2         31: 25/24 25/22
  9) 62: 25/23 24/18             31: 10/7 24/23
 10) 42: 25/23 25/21             22: 8/6 6/4 6/4 8/6
 11) 64:                         63: 10/7 23/17
 12) 42: 25/23 13/9              41: 22/18 17/16
 13) 43: 25/22 13/9              21: 25/23 18/17
 14) 31: 9/8 23/20               62: 25/23 23/17
 15) 43: 25/22 20/16              Doubles => 2
 16)  Takes                      65: 18/12 17/12
 17) 33: 25/22 23/20 23/20 4/1   43: 13/9 18/15
 18) 66:                         43: 12/9 15/11
 19) 41: 25/24 24/20             41: 23/22 22/18
 20) 11: 4/3 4/3 3/2 3/2         54: 13/8 11/7
 21) 66: 20/14 20/14 20/14 14/8  62: 18/12 8/6
 22) 63: 14/8 14/11              53: 12/7 7/4
 23) 42: 22/20 8/4               61: 12/6 7/6
 24) 63: 20/14 14/11             55: 9/4 9/4 7/2 7/2
 25) 52: 11/6 6/4                63: 8/2 4/1
 26) 63: 20/17 11/5              53: 25/22 22/17
 27) 41: 25/24 5/1               51:
 28) 65: 20/14 17/12             61:
 29)  Doubles => 4                Drops
      Wins 2 point
