; [Site "BackgammonGalaxy"]
; [Match ID "7968822"]
; [Player 1 "lasse"]
; [Player 2 "robot"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.05.15"]
; [EventTime "19.41"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       robot : 0
  1) 52: 13/8 24/22              52: 13/8 24/22
  2) 42: 8/4 6/4                 61: 13/7 8/7
  3) 41: 8/4 4/3                 54: 25/20 24/20
  4) 63: 22/16 16/13             32: 8/5 13/11
  5) 53: 24/21 21/16             66: 20/14 20/14 11/5 8/2
  6) 32: 16/13 6/4               65: 14/8 14/9
  7) 65: 13/7 13/8               54: 13/8 13/9
  8) 51: 13/8 13/12               Doubles => 2
  9)  Takes                      44: 8/4 8/4 7/3 7/3
 10) 42: 13/9 7/5                43: 9/5 8/5
 11) 41: 9/5 8/7                 63: 9/3 3/0
 12) 64: 12/6 13/9               53: 5/0 3/0
 13) 41: 9/5 7/6                 65: 6/0 5/0
 14) 65: 8/2 8/3                 43: 4/0 3/0
 15) 66: 8/2 6/0 6/0 6/0         63: 6/0 6/3
 16) 41: 4/0 2/1                 61: 6/0 5/4
 17) 52: 5/0 2/0                 65: 6/0 5/0
 18) 41: 4/0 1/0                 33: 4/1 4/1 3/0 2/0
 19) 52: 5/0 6/4                 64: 1/0 1/0
                                  Wins 2 point

