; [Site "BackgammonGalaxy"]
; [Match ID "802652"]
; [Player 1 "roland1962"]
; [Player 2 "lasse"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 roland1962 : 0                  lasse : 0
  1)                             21: 13/11 6/5
  2) 43: 24/20 13/10             62: 25/23 11/5
  3) 43: 25/22 24/20             42: 25/21 23/21
  4) 54: 22/18 18/13             31: 8/5 6/5
  5) 52: 25/23 13/8              22: 24/22 24/22 13/11 11/9
  6) 31: 10/7 8/7                61: 22/16 22/21
  7) 64: 13/7 13/9               42: 25/23 13/9
  8) 54: 13/8 13/9               61: 21/15 15/14
  9) 62: 23/21 21/15             11: 13/12 12/11 11/10 13/12
 10) 55:                         42: 8/4 6/4
 11) 54:                          Doubles => 2
 12)  Takes                      64: 14/8 10/6
 13) 61: 25/24 24/18             43: 12/8 6/3
 14)  Doubles => 4                Takes
 15) 11: 6/5 6/5 7/6 6/5         53: 8/3 8/5
 16) 52: 18/13 13/11             61: 21/15 15/14
 17) 63:                         31: 14/11 9/8
 18) 54:                         32: 11/8 9/7
 19) 31: 25/24 5/2               54: 25/21 8/3
 20) 21: 8/6 6/5                 41: 8/7 8/4
 21) 21: 24/23 5/3               43: 7/3 5/2
 22) 32: 25/23 6/3               54: 25/21 7/2
 23) 11: 25/24 24/23 8/7 7/6     65:
 24) 53: 23/18 18/15             54: 25/21 6/1
 25) 61: 15/9 9/8                52: 6/1 4/2
 26) 44: 9/5 9/5 6/2 5/1         22: 4/2 3/1 3/1 4/2
 27) 61: 8/2 2/1                 64: 21/15 15/11
 28) 32: 8/5 8/6                 41: 21/17 17/16
 29) 55: 7/2 7/2 6/1 5/0         64: 16/10 10/6
 30) 42: 5/1 2/0                 32: 11/8 8/6
 31) 32: 3/0 2/0                 63: 21/15 15/12
 32) 65: 6/0 6/1                 63: 12/6 6/3
 33) 41: 5/1 1/0                 55: 21/16 16/11 11/6 5/0
 34) 51: 5/0 1/0                 64: 6/0 6/2
 35) 42: 3/0 2/0                 63: 6/0 3/0
 36) 65: 2/0 1/0                 62: 5/0 2/0
 37) 21: 1/0 1/0                 62: 3/0 2/0
 38) 61: 1/0
      Wins 4 point and the match
