; [Site "BackgammonGalaxy"]
; [Match ID "8055217"]
; [Player 1 "lasse"]
; [Player 2 "magicalboard"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [EventDate "2024.05.19"]
; [EventTime "08.22"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 lasse : 0                       magicalboard : 0
  1)                             51: 13/8 24/23
  2) 62: 24/18 13/11             63: 23/20 20/14
  3) 41: 25/24 13/9              51: 8/7 14/9
  4) 32: 25/22 24/22             62: 13/7 9/7
  5) 63: 9/3 6/3                 66: 24/18 13/7 7/1 7/1
  6) 65: 25/20 13/7              63:
  7) 54: 7/2 6/2                 32:
  8) 51: 22/21 21/16             53: 25/20 6/3
  9) 53: 25/22 16/11             61: 25/24 20/14
 10) 53: 25/20 8/5               31: 24/21 21/20
 11) 63: 25/22 13/7               Doubles => 2
 12)  Takes                      65: 20/14 13/8
 13) 52: 13/8 7/5                63: 13/7 7/4
 14) 65: 6/1 8/2                 51: 6/1 8/7
 15) 54: 8/3 8/4                 42: 8/4 6/4
 16) 65: 20/14 14/9              43: 14/10 10/7
 17) 51: 9/4 2/1                 31: 7/4 7/6
 18) 64: 20/14 14/10             21: 14/12 12/11
 19) 63: 10/4 4/1                63: 11/5 5/2
 20) 51: 6/1 6/5                 31: 6/5 5/2
 21) 51: 3/2                     53: 7/2 7/4
 22) 32: 5/2 5/3                 61: 8/2 8/7
 23) 51: 22/17 17/16             63: 7/1 4/1
 24) 53: 16/11 11/8              63: 6/0 6/3
 25) 22:                         21: 4/3 4/2
 26) 41:                         62: 4/0 4/2
 27) 41: 25/21 21/20             42: 3/0 2/0
 28) 64: 20/14 14/10             52: 3/0 2/0
 29) 54: 10/5 8/4                52: 2/0 2/0
 30) 54: 5/0 4/0                 32: 2/0 2/0
 31) 44: 4/0 4/0 3/0 3/0         63: 1/0 1/0
 32) 43: 3/0 2/0                 66: 1/0 1/0 1/0
                                  Wins 2 point

