; [Site "BackgammonGalaxy"]
; [Match ID "805864"]
; [Player 1 "azadi6"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "2,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 azadi6 : 0                      lasse : 0
  1) 63: 13/7 13/10              41: 13/9 24/23
  2) 52: 10/5 7/5                33: 8/5 8/5 6/3 6/3
  3) 63: 8/2 24/21                Doubles => 2
  4)  Takes                      11: 25/24 24/23 5/4 5/4
  5) 62: 25/23                   52: 13/8 13/11
  6) 63:                         51: 8/3 3/2
  7) 65: 25/20                   63: 11/5 8/5
  8) 52: 25/23                   65:
  9) 51: 25/24 13/8              66:
 10) 22: 6/4 6/4 8/6 6/4         62: 25/23 24/18
 11) 55: 23/18 18/13 13/8 6/1    21: 18/16 16/15
 12) 62: 24/18 18/16             32: 25/22 15/13
 13) 65: 24/18 18/13             62: 13/7 7/5
 14) 31: 4/1 16/15               55: 23/18 23/18 13/8 13/8
 15) 62: 13/11 11/5              43: 5/2 22/18
 16) 21: 15/13 5/4               51: 8/3 3/2
 17) 63: 13/10 10/4              61: 8/2 2/1
 18) 62: 8/2 4/2                 52: 18/13 13/11
 19) 43: 8/4 8/5                 62: 11/5 5/3
 20) 61: 13/12 12/6              53: 6/1 6/3
 21) 42: 13/9 4/2                52: 18/16 6/1
 22) 51:                         51: 18/13 13/12
 23) 42:                         43: 16/12 12/9
 24) 32:                         51: 9/4 3/2
 25) 21:                         41: 12/8 2/1
 26) 44:                         54: 8/3 4/0
 27) 54:                         66: 5/0 5/0 4/0 4/0
 28) 65: 25/19 19/14             51: 3/0 1/0
 29) 52: 14/9 9/7                51: 3/0 1/0
 30) 41: 7/3 1/0                 44: 3/0 3/0 2/0 2/0
 31) 63: 6/0 4/1                 11: 1/0 1/0
                                  Wins 2 point

