; [Site "BackgammonGalaxy"]
; [Match ID "807780"]
; [Player 1 "gooner1"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "3,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 gooner1 : 0                     lasse : 0
  1) 63: 24/18 13/10             31: 8/5 6/5
  2) 21: 18/16 16/15             21: 13/11 11/10
  3) 32: 25/22 24/22             64: 10/4 8/4
  4) 65: 22/17 17/11             61: 25/24 24/18
  5) 21: 11/9 10/9               61: 24/18 6/5
  6) 51: 22/17 17/16             31: 13/10 10/9
  7) 54:                          Doubles => 2
  8)  Takes                      64: 24/18 13/9
  9) 43: 25/22 13/9              31: 6/3 5/4
 10) 52: 25/23 23/18             51: 13/8 8/7
 11) 21: 25/24 24/22             31: 25/22 4/3
 12) 52: 25/23 23/18             22: 25/23 9/7 7/5 5/3
 13) 41: 25/24 13/9              51: 13/8 23/22
 14) 54: 9/4 8/4                 55: 18/13 13/8 9/4 8/3
 15) 52: 9/4 6/4                 32: 4/1 3/1
 16) 54:                         54: 22/18 18/13
 17) 64:                         54: 22/18 18/13
 18) 32: 25/23 6/3               51: 8/3 3/2
 19) 51:                         21: 13/11 11/10
 20) 55:                         53: 10/5 5/2
 21)  Losses 3 point                                               Wins 3 point and the match
