; [Site "BackgammonGalaxy"]
; [Match ID "812180"]
; [Player 1 "sarukhanov"]
; [Player 2 "lasse"]
; [Player 1 Elo "3,00/0"]
; [Player 2 Elo "0,00/0"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

3 point match

 Game 1
 sarukhanov : 0                  lasse : 0
  1)                             51: 13/8 24/23
  2) 65: 24/18 18/13             61: 13/7 8/7
  3) 43: 13/9 9/6                41: 23/22 22/18
  4) 44: 13/9 13/9 9/5 9/5       31: 8/5 6/5
  5)  Doubles => 2                Takes
  6) 62: 13/7 7/5                62: 25/23 13/7
  7) 54: 6/1 5/1                 65:
  8) 42: 8/4 6/4                 55:
  9) 43: 24/21 6/2               53: 25/22
 10) 63: 8/2 6/3                 52:
 11) 63: 21/15 8/5               32: 25/22
 12) 31: 25/22 22/21             41:
 13) 61: 21/15 5/4               52:
 14) 53: 13/8 13/10              65:
 15) 63: 15/9 8/5                21:
 16) 54: 15/10 10/6              66:
 17) 43: 10/6 6/3                66:
 18) 63: 9/3 4/1                 22:
 19) 63: 6/0 5/2                 65:
 20) 21: 2/0 1/0                 55:
 21) 21: 6/4 6/5                 63: 25/19
 22) 31: 5/2 4/3                 54:
 23) 22: 5/3 5/3 2/0 3/1         64: 25/19 19/15
 24) 31: 3/0 1/0                 31: 7/6 15/12
 25) 44: 4/0 4/0 3/0 3/0         41: 19/15 7/6
 26) 43: 3/0 2/0                 65: 15/9 9/4
 27) 41: 2/0 1/0                 22: 8/6 8/6 13/11 13/11
 28) 51: 1/0
      Wins 3 point and the match
