; [Site "BackgammonGalaxy"]
; [Match ID "8219747"]
; [Player 1 "figen"]
; [Player 2 "lasse"]
; [Player 1 Elo "2,00/0"]
; [Player 2 Elo "0,00/0"]
; [EventDate "2024.05.25"]
; [EventTime "17.49"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 figen : 0                       lasse : 0
  1) 21: 13/11 11/10             52: 13/8 13/11
  2) 61: 13/7 8/7                65: 11/5 13/8
  3) 43: 24/20 13/10             11: 25/24 6/5 6/5 24/23
  4) 62: 25/23 24/18             53: 8/3 6/3
  5) 31: 18/15 15/14             61: 8/7 8/2
  6) 31: 25/24 14/11             61: 7/1 2/1
  7) 42: 25/21 11/9              63: 13/7 7/4
  8) 63:                          Doubles => 2
  9)  Takes                      42: 8/4 24/22
 10) 43:                         33: 23/20 24/21 13/10 8/5
 11) 44:                         55: 21/16 10/5 16/11 11/6
 12) 41:                         52: 6/1 22/20
 13) 42: 25/23                   32: 5/2 5/3
 14) 11:                         42: 20/16 16/14
 15) 64:                         31: 3/2 14/11
 16) 32:                         54: 20/16 16/11
 17) 61:                         51: 11/6 6/5
 18) 52:                         63: 11/5 5/2
 19) 61:                         55: 5/0 5/0 5/0 6/1
 20) 63: 25/19                   41: 25/21 21/20
 21) 43:                         44: 20/16
 22) 32:                         53: 16/11 11/8
 23) 62: 25/19 19/17             64: 25/21
 24) 63: 10/4 7/4                21: 25/23 23/22
 25) 52: 10/5 7/5                65: 22/16 16/11
 26) 21: 17/15 15/14             65:
 27) 41: 14/10 6/5               51: 25/24
 28) 33: 13/10 10/7 10/7 13/10   53: 4/1
 29) 64: 10/4 19/15              53: 4/1
 30) 33: 6/3 6/3 15/12 12/9      54:
 31)  Doubles => 4                Drops
      Wins 2 point
