; [Site "BackgammonGalaxy"]
; [Match ID "8220009"]
; [Player 1 "friso"]
; [Player 2 "lasse"]
; [Player 1 Elo "0,00/0"]
; [Player 2 Elo "6,00/0"]
; [EventDate "2024.05.25"]
; [EventTime "18.00"]
; [Variation "Backgammon"]
; [Unrated "Off"]
; [Crawford "On"]
; [CubeLimit "1024"]

16 point match

 Game 1
 friso : 0                       lasse : 0
  1)                             54: 24/20 13/8
  2) 32: 8/5 13/11               51: 25/20 24/23
  3) 43: 25/21 24/21             51: 20/15 15/14
  4) 33: 25/22 13/10 13/10 24/21 61: 13/7 8/7
  5) 52: 21/16 13/11             31: 25/22 13/12
  6) 42: 25/23 6/2               42: 25/23 13/9
  7) 31: 25/24 25/22              Doubles => 2
  8)  Takes                      43: 6/2 12/9
  9) 22: 25/23 22/20 6/4 6/4     51: 25/20 6/5
 10) 63: 25/22 11/5              53: 25/20 8/5
 11) 61: 25/24 21/15             42: 6/4 20/16
 12) 63: 25/22 15/9              53: 25/20 23/20
 13) 65: 9/3 8/3                 43:
 14) 52: 23/21 8/3               61: 25/24
 15) 65: 21/15 15/10             41: 25/24 24/20
 16) 21: 22/21 3/1               11: 25/24 24/23 13/12 12/11
 17) 54: 25/21 6/1               53: 20/17 17/12
 18) 43: 10/6 24/21              51: 23/18 18/17
 19) 32: 24/21 10/8              42: 25/23 20/16
 20) 21: 10/9 8/6                22: 25/23 20/18 18/16 12/10
 21) 43: 25/21 6/3               11: 11/10 16/15 15/14 14/13
 22) 53: 6/1 6/3                 31: 23/20 20/19
 23) 64:                         11: 19/18 18/17 17/16 16/15
 24) 65:                         55: 23/18 18/13 13/8 15/10
 25) 61: 3/2                     22: 13/11 11/9 9/7 8/6
 26) 65:                         41: 10/6 6/5
 27) 21: 4/2 3/2                 31: 5/2 6/5
 28) 54:                         55: 7/2 10/5 10/5 7/2
 29) 43: 21/18 18/14             64: 25/21 21/15
 30) 55:                         44: 5/1 5/1 15/11 9/5
 31) 53: 25/22                   64: 9/5 8/2
 32) 51:                         31: 8/5 2/1
 33) 64: 25/21 21/15             62: 11/5 2/0
 34) 31: 21/18 15/14             11: 6/5 6/5 1/0 1/0
 35) 62: 18/12 21/19             44: 5/1 5/1 5/1 5/1
 36) 64: 22/16 19/15             62: 5/0 2/0
 37) 52: 16/11 15/13             54: 5/1 5/0
 38) 43: 14/10 13/10             33: 5/2 5/2 2/0 2/0
 39) 62: 22/16 21/19             41: 2/0 1/0
 40) 21: 21/19 19/18             55: 1/0 1/0 1/0 1/0
 41) 32: 22/19 19/17             41: 1/0
                                  Wins 6 point

